"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"";"Cas";"21732";"00 49 06 +57 48 55";"STF 60 AH";"2012";"4";355;701.1;3.52;8.41;4.89;""
"";"Cas";"21732";"00 49 05 +57 49 04";"STF 60 BC";"2016";"5";259;235.4;7.36;11.40;4.04;""
"";"Cas";"21732";"00 49 05 +57 49 04";"STF 60 BD";"2000";"1";1;172.2;7.36;12.80;5.44;""
"";"Cas";"21732";"00 49 05 +57 49 04";"STF 60 BE";"2020";"4";126;105.5;7.36;10.15;2.79;""
"";"Cas";"21732";"00 49 05 +57 49 04";"STF 60 BF";"2016";"3";275;388.1;7.36;11.53;4.17;""
"";"Cas";"21730";"00 49 05 +57 49 04";"STF 60 BG";"2016";"3";256;420.0;7.36;9.53;2.17;""
"";"Cas";"21732";"00 49 05 +57 49 04";"STF 60 BH";"2020";"5";355;688.4;7.36;8.41;1.05;""
"";"Cas";"21730";"00 48 19 +57 49 34";"STF 60 FG";"2015";"10";188;142.2;11.53;9.53;2.00;""
"65 Psc";"Psc";"74295";"00 49 53 +27 42 39";"STF 61";"2023";"277";116;4.2;6.33;6.34;0.01;""
"HD 4789";"And";"54184";"00 50 17 +35 48 09";"STF 62";"2020";"41";303;11.9;9.41;9.84;0.43;""
"";"Psc";"92108";"00 50 12 +11 49 48";"STF 63 AB";"2015";"53";250;33.1;9.03;11.41;2.38;""
"";"And";"36713";"00 51 10 +41 11 52";"STF 64";"2020";"34";273;3.7;9.89;10.12;0.23;""
"HD 4947";"Cas";"11440";"00 52 46 +68 51 59";"STF 65";"2020";"88";220;3.2;8.00;8.02;0.02;""
"HD 4936";"Psc";"92126";"00 52 08 +10 36 04";"STF 67";"2021";"116";349;2.3;8.98;9.56;0.58;"Y"
"HD 4987";"Cet";"128997";"00 51 50 -08 09 57";"STF 68 AB,C";"2017";"24";295;7.8;8.31;9.91;1.60;""
"";"Cep";"158";"00 59 28 +83 40 59";"STF 69 AB";"2015";"42";33;28.8;9.54;10.59;1.05;""
"HD 5128";"Cas";"21814";"00 53 48 +52 41 22";"STF 70 AB";"2016";"35";247;8.3;6.33;9.49;3.16;""
"";"Cas";"21814";"00 53 48 +52 41 22";"STF 70 AC";"2015";"14";154;73.2;6.33;11.04;4.71;""
"";"Cas";"";"00 53 51 +52 40 16";"STF 70 CD";"2016";"5";86;1.6;11.04;11.40;0.36;""
"HD 5130";"Psc";"109521";"00 53 19 +05 00 18";"STF 71";"2016";"38";339;8.9;9.30;10.56;1.26;""
"HD 5245";"And";"54254";"00 54 38 +39 10 10";"STF 72";"2024";"42";173;23.6;8.38;9.31;0.93;""
"";"And";"74359";"00 54 58 +23 37 42";"STF 73 AB";"2024";"747";340;1.2;6.12;6.54;0.42;"Y"
"HD 5280";"Psc";"109530";"00 54 45 +09 25 44";"STF 74";"2020";"53";300;3.1;8.57;9.60;1.03;""
"";"Psc";"92152";"00 55 08 +13 32 58";"STF 75";"2016";"32";273;5.2;9.60;11.27;1.67;""
"HD 5464";"Psc";"92166";"00 56 36 +10 40 25";"STF 76";"2015";"23";199;3.0;9.10;11.80;2.70;""
"";"Psc";"";"00 58 07 +26 55 22";"STF 77";"2020";"34";119;10.4;10.35;10.45;0.10;""
"";"Psc";"";"00 59 05 +05 22 55";"STF 78";"2016";"34";244;5.0;10.25;10.47;0.22;""
"164 And";"And";"36833";"01 00 04 +44 42 48";"STF 79";"2024";"139";194;7.9;6.04;6.77;0.73;"Y"
"HD 5780";"Cet";"109577";"00 59 23 +00 46 44";"STF 80 AB";"2018";"148";339;29.9;7.82;9.05;1.23;""
"HD 5861";"Cet";"129072";"01 00 04 -02 01 08";"STF 81";"2016";"19";68;18.0;7.41;11.10;3.69;""
"HD 5901";"Psc";"109596";"01 00 42 +09 29 13";"STF 82 AB";"2018";"51";304;1.9;8.78;9.71;0.93;""
"HD 6174";"Cas";"21958";"01 03 30 +50 18 45";"STF 83 AB";"2015";"25";313;29.2;7.88;11.16;3.28;""
"26 Cet";"Cet";"109643";"01 03 49 +01 22 01";"STF 84 AB";"2024";"74";254;15.9;6.11;9.52;3.41;""
"HD 6349";"Cet";"129105";"01 04 24 -05 18 10";"STF 85 AB";"2017";"25";159;37.0;8.71;10.57;1.86;""
"";"Cet";"129105";"01 04 24 -05 18 10";"STF 85 AC";"2017";"17";122;38.1;8.71;12.09;3.38;""
"";"Cet";"";"01 04 25 -05 18 43";"STF 85 BC";"2017";"18";53;23.3;10.57;12.09;1.52;""
"HD 6388";"Cet";"129110";"01 04 47 -05 28 07";"STF 86 AB";"2018";"119";137;16.9;8.80;9.20;0.40;""
"HD 6440";"Psc";"92237";"01 05 30 +15 23 24";"STF 87 AB";"2021";"126";203;6.0;9.24;9.93;0.69;""
"Psi1 Psc";"Psc";"74482";"01 05 41 +21 28 24";"STF 88 AB";"2021";"168";159;29.8;5.27;5.45;0.18;""
"";"Psc";"74482";"01 05 41 +21 28 24";"STF 88 AC";"2017";"15";124;90.4;5.27;10.71;5.44;""
"";"Psc";"74483";"01 05 42 +21 27 56";"STF 88 BC";"2017";"18";109;68.5;5.45;10.71;5.26;""
"";"Cep";"190";"01 10 41 +80 20 37";"STF 89";"2016";"24";320;16.9;9.72;10.02;0.30;""
"77 Psc";"Psc";"109666";"01 05 49 +04 54 31";"STF 90 AB";"2021";"116";84;33.1;6.39;7.26;0.87;""
"";"Psc";"109666";"01 05 49 +04 54 31";"STF 90 AC";"2015";"8";290;157.6;6.39;13.15;6.76;""
"";"Psc";"109666";"01 05 49 +04 54 31";"STF 90 AD";"2015";"6";323;42.0;6.39;14.60;8.21;""
"";"Psc";"109666";"01 05 49 +04 54 31";"STF 90 AE";"2015";"6";352;90.4;6.39;14.39;8.00;""
