"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"NSV46";"Cet";"166066";"00 07 47 -22 30 30";"SEE 2";"2016";"12";145;1.8;5.90;11.00;5.10;""
"HD 332";"And";"53668";"00 08 02 +31 23 28";"STTA 256 AB";"2015";"39";113;110.9;7.13;7.28;0.15;""
"";"And";"53668";"00 08 02 +31 23 28";"BU 1339 AC";"2015";"10";273;15.9;7.13;13.60;6.47;""
"HD 364";"Scl";"";"00 08 19 -32 42 03";"RST 2233";"1991";"4";219;1.0;8.39;11.71;3.32;""
"HD 357";"And";"36090";"00 08 26 +41 57 29";"HDS 16";"2015";"4";344;1.6;8.72;12.49;3.77;""
"";"And";"73765";"00 08 23 +29 05 27";"MKT 11 Aa,Ab";"1989";"42";241;0.0;2.22;4.21;1.99;"Y"
"Alpheratz";"And";"73765";"00 08 23 +29 05 27";"H 5 32 AB";"2023";"50";286;92.8;2.22;11.11;8.89;""
"HD 375";"And";"53674";"00 08 28 +34 56 04";"HDS 17";"2020";"61";136;0.1;8.11;8.36;0.25;"Y"
"HD 429";"Phe";"231942";"00 08 45 -52 19 41";"HU 1551";"2015";"11";125;8.1;8.67;10.52;1.85;""
"HD 418";"Psc";"109033";"00 08 49 +08 01 18";"HDO 2";"2016";"25";131;18.6;7.47;12.30;4.83;""
"V740 Cas";"Cas";"11002";"00 08 57 +66 27 24";"FAB 1";"2015";"14";181;14.9;8.72;11.08;2.36;""
"HD 416";"And";"53680";"00 08 52 +37 12 56";"STF 1";"2017";"41";288;9.9;8.91;10.71;1.80;""
"HD 422";"Psc";"109035";"00 08 52 +00 41 33";"HDS 18";"2008";"2";152;0.3;7.67;9.31;1.64;""
"HD 452";"Cet";"";"00 08 59 -21 12 23";"B 1903";"2016";"6";125;1.9;7.20;11.70;4.50;""
"HD 469";"Phe";"231943";"00 09 02 -54 00 07";"HDO 181";"2018";"47";15;0.4;6.74;8.07;1.33;"Y"
"HD 445";"And";"36104";"00 09 04 +40 50 34";"BU 483 AB";"2016";"13";34;2.1;7.04;11.50;4.46;""
"";"And";"36104";"00 09 04 +40 50 34";"BU 483 AC";"2015";"20";268;158.5;7.04;7.66;0.62;""
"HD 479";"Phe";"231946";"00 09 07 -50 00 49";"RST 5492";"2019";"5";322;1.0;8.58;11.81;3.23;""
"";"Phe";"231947";"00 09 09 -50 10 00";"HJ 3347";"2015";"9";85;24.7;7.07;13.41;6.34;""
"Caph";"Cas";"21133";"00 09 11 +59 08 59";"AGC 15 AB";"2012";"11";268;66.1;2.30;12.45;10.15;""
"HD 460";"And";"36106";"00 09 10 +44 43 18";"HJ 1001";"2024";"34";77;15.0;8.82;10.73;1.91;""
"HD 431";"Cep";"4048";"00 09 20 +79 42 52";"STF 2";"2023";"215";14;1.0;6.68;6.89;0.21;"Y"
"HD 471";"Peg";"73776";"00 09 16 +25 16 55";"GIC 2 AB";"2021";"16";237;29.5;7.77;11.46;3.69;""
"";"Cas";"11007";"00 09 26 +63 57 14";"BUP 1 AB";"2015";"7";27;25.4;8.57;13.50;4.93;""
"";"Cas";"11007";"00 09 26 +63 57 14";"BUP 1 AC";"2015";"12";69;131.1;8.57;11.79;3.22;""
"HD 470";"Cas";"21137";"00 09 23 +58 39 57";"HDS 20";"2009";"4";156;0.3;8.53;9.89;1.36;""
"Kap1 Scl";"Scl";"166083";"00 09 21 -27 59 16";"BU 391 AB";"2017";"81";258;1.3;6.13;6.24;0.11;"Y"
"";"Scl";"166083";"00 09 21 -27 59 16";"LDS 2095 AC";"2016";"4";243;75.8;6.13;18.60;12.47;""
"HD 489";"Peg";"91742";"00 09 28 +19 06 57";"COU 247";"2018";"41";205;0.3;8.29;9.98;1.69;"Y"
"";"Peg";"73781";"00 09 36 +26 40 55";"A 430";"2016";"8";166;4.2;9.00;14.50;5.50;""
"HD 537";"Phe";"231950";"00 09 39 -56 11 31";"B 2062";"2015";"9";11;10.7;8.47;11.46;2.99;""
"HD 509";"Cas";"21145";"00 09 44 +52 01 42";"BU 484 AB";"2016";"16";159;2.0;7.62;12.20;4.58;""
"";"Cas";"21145";"00 09 44 +52 01 42";"BU 484 AC";"2015";"25";51;83.2;7.62;8.54;0.92;""
"";"Cas";"21145";"00 09 44 +52 01 42";"ARN 28 AD";"2015";"12";247;165.8;7.62;9.44;1.82;""
"HD 536";"Scl";"192378";"00 09 42 -37 18 53";"B 1904";"2019";"5";187;0.3;8.57;10.47;1.90;""
"";"Tuc";"248129";"00 09 41 -63 35 23";"RST 2235";"2016";"4";161;1.5;8.10;13.50;5.40;""
"HD 530";"Psc";"91748";"00 09 52 +11 24 59";"HJ 1939";"2015";"29";170;30.6;8.44;11.19;2.75;""
"V342 And";"And";"36118";"00 10 03 +46 23 25";"STF 3";"2020";"79";82;5.0;7.84;9.08;1.24;""
"34 Psc";"Psc";"91750";"00 10 02 +11 08 45";"STF 5";"2016";"42";159;7.6;5.54;9.44;3.90;""
"HD 583";"Cas";"21161";"00 10 24 +58 29 22";"ARY 7 AB";"2016";"16";3;124.0;7.79;8.34;0.55;""
"";"Cas";"21160";"00 10 25 +58 31 26";"BU 253 Ba,Bb";"2021";"40";27;0.4;8.94;9.03;0.09;""
"";"Cas";"36126";"00 10 26 +49 52 22";"ES 2576";"2021";"22";294;77.0;8.62;8.72;0.10;""
"HD 661";"Tuc";"255642";"00 10 39 -73 13 28";"I 43 AB";"2022";"14";194;0.5;6.97;8.55;1.58;"Y"
"";"Cas";"11017";"00 10 42 +60 48 22";"STI 13";"2015";"9";235;10.7;8.38;13.00;4.62;""
"HD 594";"Cas";"21166";"00 10 37 +58 44 54";"ARY 8 AB";"2019";"20";101;39.2;8.13;8.63;0.50;""
"";"Cas";"21166";"00 10 37 +58 44 54";"ARY 8 AC";"2019";"19";43;104.7;8.13;8.29;0.16;""
"";"Cas";"21171";"00 10 46 +58 46 10";"BU 485 Ca,Cb";"1994";"27";257;0.1;8.77;9.50;0.73;""
"";"Scl";"192382";"00 10 47 -34 51 39";"RST 2236";"2016";"5";99;2.0;6.90;13.20;6.30;""
"BL Phe";"Phe";"231959";"00 10 47 -57 29 12";"HJ 3350";"2016";"24";184;3.2;8.80;9.57;0.77;""
"HD 652";"And";"36134";"00 10 56 +48 06 38";"LEP 2 AB";"2015";"14";47;24.0;8.41;10.72;2.31;""
"HD 669";"Cas";"36138";"00 11 09 +49 32 48";"ES 2577";"2021";"27";311;66.1;8.24;8.99;0.75;""
"HD 706";"Phe";"214994";"00 11 18 -40 22 22";"RST 1180";"2016";"6";56;1.3;7.82;11.61;3.79;""
"";"And";"53703";"00 11 22 +30 26 58";"LAF 22";"2005";"1";12;2.5;6.30;21.20;14.90;""
"HD 740";"Phe";"231961";"00 11 31 -55 44 59";"HDS 25";"2023";"6";71;0.1;8.86;9.66;0.80;""
"HD 697";"Cas";"21188";"00 11 33 +59 45 44";"BU 254 AB";"2016";"24";237;7.3;7.90;11.90;4.00;""
"";"Cas";"21188";"00 11 33 +59 45 44";"BU 254 AC";"2016";"16";240;36.4;7.90;13.24;5.34;""
"V742 Cas";"Cas";"21190";"00 11 37 +58 12 43";"ARY 9";"2016";"18";83;138.8;7.11;8.61;1.50;""
"HD 709";"Cas";"21191";"00 11 39 +55 57 41";"STF 7";"2018";"69";210;1.3;7.99;8.46;0.47;""
"HD 717";"Psc";"128631";"00 11 35 -03 04 41";"STF 8";"2020";"65";292;8.0;7.84;9.26;1.42;""
"Kap2 Scl";"Scl";"166103";"00 11 34 -27 47 59";"LDS 2099";"2010";"4";289;44.2;5.41;21.00;15.59;""
"HD 738";"Cet";"128633";"00 11 41 -09 42 10";"HDS 26";"2021";"8";76;0.7;8.70;11.84;3.14;""
"HD 724";"Cas";"11030";"00 11 50 +66 07 35";"STT 1";"2021";"31";213;1.6;7.45;9.47;2.02;""
"HD 744";"And";"73801";"00 11 50 +28 25 24";"BU 255";"2020";"83";64;0.4;7.88;8.97;1.09;"Y"
"HD 793";"Hyi";"255644";"00 11 55 -75 28 37";"JSP 2";"2016";"7";295;4.9;7.69;11.49;3.80;""
"HD 753";"Cep";"11032";"00 12 04 +68 25 31";"MLR 281";"2016";"8";219;1.1;9.00;12.40;3.40;""
"HD 761";"Cas";"21202";"00 12 08 +53 37 26";"BU 1026 AB";"2021";"137";324;0.3;7.25;8.46;1.21;"Y"
"";"Cas";"21202";"00 12 08 +53 37 26";"CHR 1 AC";"2001";"8";298;0.3;7.25;"";"";""
"HD 791";"Tuc";"231967";"00 12 05 -58 31 29";"RST 4739";"2023";"15";240;0.2;8.44;8.61;0.17;"Y"
"";"Cep";"32";"00 12 27 +83 11 44";"HJ 1942";"2015";"9";326;25.5;8.92;12.70;3.78;""
