name,x,y,z,mag
45G Aqr,0.71039655,-0.69577291,-0.10600375,7.0
46G Aqr,0.71459861,-0.69917611,0.02239652,6.8
nu Aqr,0.70032211,-0.68351516,-0.20580568,4.7
48G Aqr,0.71573461,-0.69825294,-0.01291508,6.7
49G Aqr,0.70881405,-0.68429457,-0.17124132,6.5
EW Aqr,0.69717796,-0.66866696,-0.25850996,6.5
51G Aqr,0.71620994,-0.67070605,-0.19286449,6.8
52G Aqr,0.73197815,-0.68128805,-0.00738849,6.8
53G Aqr,0.71380615,-0.65896975,-0.23714901,6.9
14 Aqr,0.72545266,-0.66718529,-0.16906281,6.5
55G Aqr,0.73730855,-0.67453456,-0.03713788,6.9
56G Aqr,0.72524102,-0.66320386,-0.18489482,6.9
57G Aqr,0.71709167,-0.65489031,-0.23853346,6.5
15 Aqr,0.73920040,-0.66772355,-0.08790915,5.8
59G Aqr,0.72201157,-0.64470302,-0.25111215,7.0
60G Aqr,0.72596793,-0.64681383,-0.23367164,6.9
61G Aqr,0.72465196,-0.64507438,-0.24240169,7.0
16 Aqr,0.74749021,-0.65832530,-0.08869148,6.1
63G Aqr,0.75310116,-0.65774396,0.01454390,6.8
64G Aqr,0.74149731,-0.64875093,-0.17118400,6.9
17 Aqr,0.74424210,-0.64563067,-0.17106936,6.2
66G Aqr,0.75302604,-0.65488403,-0.06386465,6.9
18 Aqr,0.73791498,-0.63377395,-0.23197427,5.7
19 Aqr,0.74959577,-0.63739224,-0.17843014,5.8
20 Aqr,0.75960497,-0.64676031,-0.06856669,6.5
21 Aqr,0.76063216,-0.64525320,-0.07132336,5.7
71G Aqr,0.73663203,-0.62609212,-0.25569886,6.8
72G Aqr,0.76454653,-0.64456853,-0.00008727,6.4
73G Aqr,0.74651815,-0.62844111,-0.21856904,7.0
74G Aqr,0.76623998,-0.64247705,0.00997730,6.2
beta Aqr,0.77539450,-0.62241259,-0.10661115,2.6
M2 Aqr,0.78513526,-0.61885816,-0.02402505,6.8
77G Aqr,0.78398882,-0.61481783,-0.08579369,6.7
78G Aqr,0.78545577,-0.61504628,-0.06911806,6.8
79G Aqr,0.78875472,-0.61430521,0.02225111,6.7
80G Aqr,0.78758870,-0.61109991,-0.07912606,6.2
xi Aqr,0.78769687,-0.59843636,-0.14631324,5.0
82G Aqr,0.79628853,-0.60468975,-0.01657987,6.2
24 Aqr,0.80142490,-0.59799858,-0.01076266,6.7
d Aqr,0.80147308,-0.59730896,0.02937548,5.5
26 Aqr,0.80844050,-0.58844499,0.01250787,6.0
86G Aqr,0.81029621,-0.57869022,-0.09239955,6.7
87G Aqr,0.81834535,-0.57265690,-0.04873355,6.8
88G Aqr,0.81795444,-0.56814035,-0.09037186,6.8
89G Aqr,0.81653809,-0.56610087,-0.11311651,6.5
90G Aqr,0.82082525,-0.56159250,-0.10421023,6.9
91G Aqr,0.83190936,-0.55490198,0.00325794,6.7
92G Aqr,0.83173023,-0.55129342,-0.06557729,6.7
93G Aqr,0.83178471,-0.54932927,-0.07982198,7.0
94G Aqr,0.83482555,-0.54395644,-0.08472132,6.0
95G Aqr,0.83697540,-0.54301911,-0.06784116,6.4
96G Aqr,0.84261178,-0.52822788,-0.10478882,6.5
97G Aqr,0.77262102,-0.48169414,-0.41355472,6.9
98G Aqr,0.84579254,-0.52645949,-0.08646025,6.4
28 Aqr,0.85419425,-0.51995401,0.00008727,5.9
100G Aqr,0.81140424,-0.49083950,-0.31733224,6.6
29 Aqr,0.81633628,-0.49244553,-0.30181530,6.5
30 Aqr,0.85210516,-0.50846067,-0.12403445,5.8
omicron Aqr,0.85807626,-0.51126242,-0.04812340,4.9
32 Aqr,0.86214057,-0.50598344,-0.02635142,5.7
alpha Aqr,0.86452730,-0.50232559,-0.01617268,2.7
106G Aqr,0.83325076,-0.48399055,-0.26729444,7.0
iota Aqr,0.83786525,-0.48528656,-0.24995755,4.4
108G Aqr,0.79863276,-0.45977534,-0.38831992,7.0
109G Aqr,0.86627259,-0.49854805,0.03196317,6.5
110G Aqr,0.83784526,-0.47975759,-0.26047642,6.9
111G Aqr,0.84493637,-0.47779869,-0.24039746,7.0
35 Aqr,0.82256296,-0.46475221,-0.32771263,5.9
113G Aqr,0.79436698,-0.44722232,-0.41106361,6.6
114G Aqr,0.86348374,-0.48406918,-0.14167875,6.9
115G Aqr,0.87156585,-0.48394574,-0.07854609,6.5
37 Aqr,0.85697708,-0.47568212,-0.19828463,6.8
e Aqr,0.85479915,-0.47414801,-0.21095517,5.6
118G Aqr,0.87151950,-0.48292546,-0.08506913,6.3
119G Aqr,0.81201292,-0.44964305,-0.37209695,6.4
39 Aqr,0.84899007,-0.46248402,-0.25558637,6.4
121G Aqr,0.87545653,-0.47426303,-0.09300779,6.7
40 Aqr,0.85936117,-0.46296018,-0.21717793,7.0
41 Aqr,0.81925903,-0.43836278,-0.36966567,5.8
124G Aqr,0.80225425,-0.42753950,-0.41665104,6.9
125G Aqr,0.84665298,-0.45080539,-0.28276001,6.8
126G Aqr,0.81189029,-0.42249326,-0.40290644,6.7
42 Aqr,0.86286689,-0.44870166,-0.23265330,5.8
128G Aqr,0.88658086,-0.46095131,-0.03870755,6.4
theta Aqr,0.87794857,-0.45589563,-0.14616936,4.3
130G Aqr,0.87499153,-0.45411778,-0.16782986,6.4
44 Aqr,0.88330146,-0.45696392,-0.10470204,6.4
132G Aqr,0.89024499,-0.45523465,-0.01500927,6.6
45 Aqr,0.86537858,-0.43950649,-0.24073628,6.3
rho Aqr,0.88448375,-0.44283602,-0.14691750,5.6
47 Aqr,0.82975307,-0.41046498,-0.37819088,5.6
gamma Aqr,0.89670264,-0.44123240,-0.03519021,3.9
49 Aqr,0.81290527,-0.39406831,-0.42883002,5.9
138G Aqr,0.89227654,-0.43046310,-0.13617667,6.2
51 Aqr,0.89772830,-0.43011933,-0.09529559,5.8
50 Aqr,0.87469276,-0.41837887,-0.24468694,6.1
141G Aqr,0.90241056,-0.42970299,-0.03178872,6.8
pi Aqr,0.90419283,-0.42692741,0.01297325,4.9
143G Aqr,0.84505689,-0.39870496,-0.35624880,7.0
144G Aqr,0.82466682,-0.38776579,-0.41177946,6.3
f Aqr,0.86456405,-0.40414835,-0.29865216,5.8
147G Aqr,0.89749239,-0.41842812,-0.13937474,6.9
54 Aqr,0.88703994,-0.41339794,-0.20557794,7.0
149G Aqr,0.90701133,-0.41973859,-0.03391106,6.9
zeta1 Aqr,0.91059350,-0.41314338,-0.01148983,3.5
152G Aqr,0.88694505,-0.39798885,-0.23437866,6.5
56 Aqr,0.88077384,-0.39406605,-0.26258215,6.3
sigma Aqr,0.89584196,-0.39869842,-0.19623139,5.1
155G Aqr,0.91329184,-0.40257171,-0.06191955,6.6
58 Aqr,0.89690748,-0.39433736,-0.20013750,6.7
157G Aqr,0.90767424,-0.40056861,-0.12518894,6.2
158G Aqr,0.90994734,-0.39581374,-0.12380353,7.0
159G Aqr,0.90502468,-0.38633694,-0.17797217,6.7
60 Aqr,0.91913320,-0.39204353,-0.03867848,6.2
upsilon Aqr,0.85711530,-0.36448610,-0.36400996,5.7
162G Aqr,0.83784301,-0.35248359,-0.41686258,6.2
eta Aqr,0.92200697,-0.38694501,-0.01329320,4.1
61 Aqr,0.87667512,-0.36724562,-0.31075938,6.7
165G Aqr,0.88237324,-0.36827564,-0.29290020,6.7
kappa Aqr,0.92266263,-0.37614034,-0.08492421,5.2
167G Aqr,0.91656399,-0.37124664,-0.14861490,6.4
64 Aqr,0.91225286,-0.36533692,-0.18526644,6.9
169G Aqr,0.91550800,-0.36278335,-0.17387735,6.8
170G Aqr,0.84918106,-0.33350301,-0.40947193,6.9
171G Aqr,0.92844558,-0.36416543,-0.07329622,6.4
172G Aqr,0.92825668,-0.35818444,-0.10021700,6.7
173G Aqr,0.93417918,-0.35672834,-0.00735941,7.0
174G Aqr,0.92294563,-0.35197731,-0.15583109,6.6
67 Aqr,0.92644969,-0.35231075,-0.13254472,6.4
g1 Aqr,0.88139355,-0.33451665,-0.33353264,4.9
177G Aqr,0.91924941,-0.33617013,-0.20486620,7.0
178G Aqr,0.89365062,-0.32210113,-0.31247308,6.9
g2 Aqr,0.88272916,-0.31758453,-0.34630809,5.4
tau1 Aqr,0.91040169,-0.32656867,-0.25401117,5.8
70 Aqr,0.92454578,-0.32770153,-0.19449116,6.2
182G Aqr,0.86345300,-0.30364639,-0.40279994,7.0
tau2 Aqr,0.91498701,-0.31967709,-0.24618149,4.2
184G Aqr,0.89271011,-0.29905761,-0.33709526,6.8
lambda Aqr,0.93863977,-0.31368501,-0.14337747,3.6
186G Aqr,0.93198965,-0.31108592,-0.18606676,6.8
74 Aqr,0.92783629,-0.30640345,-0.21268932,6.0
188G Aqr,0.94329021,-0.31112652,-0.11577509,6.9
189G Aqr,0.89382030,-0.29308107,-0.33939470,7.0
75 Aqr,0.92658818,-0.30322866,-0.22245611,7.0
delta Aqr,0.91198399,-0.29624824,-0.28376432,3.2
78 Aqr,0.94219158,-0.30583363,-0.13689708,6.4
77 Aqr,0.91001608,-0.29502380,-0.29125880,5.8
194G Aqr,0.87546504,-0.28382249,-0.39115951,6.8
195G Aqr,0.94736554,-0.30462184,-0.09850926,5.9
196G Aqr,0.89004549,-0.28576235,-0.35518854,6.6
197G Aqr,0.95042398,-0.29594829,-0.09544038,6.6
198G Aqr,0.93018941,-0.27988147,-0.23751636,6.6
199G Aqr,0.94528686,-0.28090426,-0.16590824,6.9
200G Aqr,0.88029739,-0.25804251,-0.39810874,6.7
81 Aqr,0.95120096,-0.27770015,-0.13453387,6.6
202G Aqr,0.95587612,-0.27838624,-0.09381871,6.1
203G Aqr,0.90768137,-0.26041632,-0.32908640,7.0
82 Aqr,0.95364657,-0.27322861,-0.12611240,6.4
205G Aqr,0.89422367,-0.25613303,-0.36709658,6.5
206G Aqr,0.95860382,-0.26832343,-0.09529559,6.9
207G Aqr,0.91841222,-0.25211081,-0.30489200,6.3
h Aqr,0.95411663,-0.26168810,-0.14553625,5.4
209G Aqr,0.91947803,-0.25182823,-0.30189849,6.9
c1 Aqr,0.87949086,-0.23579597,-0.41339581,4.4
c2 Aqr,0.89938632,-0.22932035,-0.37217795,3.7
c3 Aqr,0.89151696,-0.22545051,-0.39289893,4.9
213G Aqr,0.93564150,-0.23653651,-0.26196460,6.8
214G Aqr,0.96398244,-0.23952891,-0.11560173,6.9
phi Aqr,0.96752627,-0.22403814,-0.11704630,4.1
216G Aqr,0.95541331,-0.21984284,-0.19711553,6.5
217G Aqr,0.97287785,-0.21954488,-0.07286105,5.4
psi1 Aqr,0.96151695,-0.21609948,-0.16966485,4.1
chi Aqr,0.96614320,-0.21256768,-0.14622691,5.3
220G Aqr,0.96760883,-0.21237379,-0.13649366,6.8
221G Aqr,0.95457324,-0.20667671,-0.21465010,6.6
psi2 Aqr,0.96314531,-0.20735976,-0.17132730,4.2
psi3 Aqr,0.96280494,-0.20267545,-0.17868773,4.8
94 Aqr,0.94897045,-0.19947496,-0.24426384,5.5
225G Aqr,0.92690140,-0.19349910,-0.32157719,6.8
96 Aqr,0.97394820,-0.20295100,-0.10117206,5.6
227G Aqr,0.97658222,-0.19964955,-0.08016993,6.5
228G Aqr,0.97365129,-0.19705949,-0.11476377,6.4
229G Aqr,0.97643402,-0.19459392,-0.09332637,6.7
97 Aqr,0.94496845,-0.18325540,-0.27102047,5.3
b1 Aqr,0.91807175,-0.17679275,-0.35480782,3.9
232G Aqr,0.97018967,-0.18295390,-0.15893353,6.9
233G Aqr,0.90831142,-0.17046448,-0.38198458,6.8
234G Aqr,0.92721875,-0.17380345,-0.33174954,6.9
b2 Aqr,0.91700316,-0.16382480,-0.36368482,4.4
236G Aqr,0.91031441,-0.16051299,-0.38152753,7.0
237G Aqr,0.96394607,-0.16311138,-0.21024426,6.7
238G Aqr,0.97183317,-0.16023251,-0.17281736,6.5
239G Aqr,0.98296257,-0.15979212,-0.09083536,6.3
240G Aqr,0.98075613,-0.15285168,-0.12146513,6.5
241G Aqr,0.98498719,-0.15131073,-0.08309809,6.3
100 Aqr,0.91610749,-0.14038870,-0.37555037,6.3
243G Aqr,0.96847611,-0.14495574,-0.20258790,6.8
b3 Aqr,0.91996694,-0.13448198,-0.36820569,4.5
245G Aqr,0.98576698,-0.14278303,-0.08874943,6.8
246G Aqr,0.95240772,-0.13251048,-0.27451869,6.6
247G Aqr,0.98763006,-0.13528849,-0.07927105,6.9
248G Aqr,0.98089059,-0.13313010,-0.14188032,6.5
249G Aqr,0.97772608,-0.13060125,-0.16430162,7.0
250G Aqr,0.96365331,-0.12180892,-0.23777066,6.0
251G Aqr,0.95490008,-0.11915066,-0.27197235,7.0
252G Aqr,0.97931670,-0.12132949,-0.16191958,6.9
omega1 Aqr,0.95976600,-0.11232206,-0.25735767,5.2
254G Aqr,0.98255733,-0.11042853,-0.14962163,7.0
255G Aqr,0.97081866,-0.10767963,-0.21428074,6.2
A1 Aqr,0.94153253,-0.10269885,-0.32088851,5.8
A2 Aqr,0.94275898,-0.10206957,-0.31747017,5.0
258G Aqr,0.95532387,-0.10047883,-0.27795739,5.7
omega2 Aqr,0.95967275,-0.09987793,-0.26277862,4.7
R Aqr,0.95668271,-0.09485728,-0.27524587,0.0
i1 Aqr,0.94122237,-0.09180394,-0.32507304,5.2
i2 Aqr,0.93961183,-0.08420251,-0.33172210,5.4
264G Aqr,0.97249963,-0.08152064,-0.21817163,5.9
265G Aqr,0.98936609,-0.07735806,-0.12316848,6.4
266G Aqr,0.95593146,-0.07075838,-0.28493561,6.8
267G Aqr,0.97639950,-0.06963234,-0.20443910,6.9
