name,x,y,z,mag
GC 22167,-0.34206014,-0.68654530,-0.64159988,8.0
GC 22168,-0.25069532,-0.50374693,-0.82667460,8.5
GC 22169,-0.25583106,-0.51459009,-0.81838103,7.7
GC 22170,-0.08784176,-0.17685661,-0.98030891,3.9
GC 22171,-0.37358692,-0.75265880,-0.54216007,8.5
GC 22172,-0.25856799,-0.52107022,-0.81340545,8.2
GC 22173,-0.38118005,-0.76822166,-0.51433185,8.5
GC 22174,-0.15904057,-0.32053907,-0.93378841,7.0
GC 22175,-0.37096937,-0.74815019,-0.55013909,8.5
GC 22176,-0.32024598,-0.64588007,-0.69302341,8.5
GC 22177,-0.24373765,-0.49179452,-0.83590078,8.5
GC 22178,-0.38109400,-0.76895251,-0.51330245,8.2
GC 22179,-0.15487647,-0.31281872,-0.93710070,7.0
GC 22180,-0.02998528,-0.06067626,-0.99770701,6.2
GC 22181,-0.35320888,-0.71479996,-0.60357643,7.2
GC 22182,-0.38131832,-0.77299472,-0.50702614,9.5
GC 22183,-0.26444283,-0.53613085,-0.80164437,7.7
GC 22184,-0.36381011,-0.73807894,-0.56822679,7.5
GC 22185,-0.15266596,-0.30974230,-0.93848432,5.6
GC 22186,-0.33469041,-0.67926772,-0.65312916,7.5
GC 22187,-0.24574645,-0.49887862,-0.83110096,7.5
GC 22188,-0.33357068,-0.67762274,-0.65540676,7.5
GC 22189,-0.39080275,-0.79552852,-0.46304167,8.5
GC 22190,-0.14454439,-0.29475336,-0.94457788,7.0
GC 22191,-0.43552333,-0.88811933,-0.14684509,8.0
GC 22192,-0.35542002,-0.72498201,-0.58998110,8.7
GC 22193,-0.28020675,-0.57171530,-0.77111983,8.0
GC 22194,-0.34250901,-0.69884042,-0.62794080,5.8
GC 22195,-0.30805228,-0.62881062,-0.71393347,7.5
GC 22196,-0.25250505,-0.51610791,-0.81845820,8.5
GC 22197,-0.42087095,-0.86027441,-0.28774221,7.0
GC 22198,-0.31128821,-0.63645828,-0.70570568,8.0
GC 22199,-0.36836687,-0.75446175,-0.54322492,7.0
GC 22200,-0.36834682,-0.75444574,-0.54326074,7.5
GC 22201,-0.39348123,-0.80616975,-0.44188557,7.2
GC 22202,-0.30979967,-0.63486118,-0.70779619,6.9
GC 22203,-0.28843532,-0.59140843,-0.75302134,7.7
GC 22204,-0.31529696,-0.64700023,-0.69424674,9.2
GC 22205,-0.24105656,-0.49500186,-0.83478434,7.7
GC 22206,-0.43751963,-0.89866981,-0.03113116,6.6
GC 22207,-0.24773346,-0.50886775,-0.82442813,8.0
GC 22208,-0.34822291,-0.71553767,-0.60559611,5.8
GC 22209,-0.25794098,-0.53030130,-0.80761809,9.0
GC 22210,-0.28599381,-0.58849952,-0.75622474,7.7
GC 22211,-0.35847913,-0.73786256,-0.57188421,7.7
GC 22212,-0.19311613,-0.39754068,-0.89703265,5.8
GC 22213,-0.35898587,-0.74072196,-0.56785572,7.2
GC 22214,-0.26158218,-0.53979677,-0.80012138,8.0
GC 22215,-0.10786688,-0.22275744,-0.96888795,8.0
GC 22216,-0.43573782,-0.90002030,-0.00979890,7.2
GC 22217,-0.23193489,-0.47924748,-0.84647981,7.5
GC 22218,-0.43530614,-0.90027016,-0.00471237,8.5
GC 22219,-0.40968387,-0.84737743,-0.33780264,4.8
GC 22220,-0.30638219,-0.63382200,-0.71021097,8.7
GC 22221,-0.37909911,-0.78433517,-0.49102159,6.7
GC 22222,-0.37908963,-0.78431992,-0.49105327,6.2
GC 22223,-0.38821547,-0.80323369,-0.45177914,7.5
GC 22224,-0.35271093,-0.72977334,-0.58568410,8.0
GC 22225,-0.20862962,-0.43189567,-0.87746214,7.7
GC 22226,-0.38873362,-0.80597314,-0.44642298,8.7
GC 22227,-0.25093393,-0.52090866,-0.81589603,8.0
GC 22228,-0.30984378,-0.64332646,-0.70009135,9.0
GC 22229,-0.37141045,-0.77122288,-0.51698118,7.5
GC 22230,-0.30356722,-0.63172282,-0.71328341,7.7
GC 22231,-0.39213890,-0.81656350,-0.42361674,8.5
GC 22232,-0.38413721,-0.80062483,-0.45982441,8.5
GC 22233,-0.29042297,-0.60632244,-0.74028886,7.7
GC 22234,-0.36717965,-0.76663343,-0.52673740,8.0
GC 22235,-0.36096731,-0.75408635,-0.54868604,8.0
GC 22236,-0.22672191,-0.47383813,-0.85092573,6.1
GC 22237,-0.36831405,-0.76986402,-0.52120452,7.5
GC 22238,-0.37670879,-0.78829729,-0.48649550,7.5
GC 22239,-0.39610513,-0.82963172,-0.39346149,7.5
GC 22240,-0.28546612,-0.59797728,-0.74895411,8.0
GC 22241,-0.37437182,-0.78446544,-0.49442867,7.7
GC 22242,-0.23504378,-0.49251957,-0.83796115,7.7
GC 22243,-0.35401704,-0.74211355,-0.56915675,8.0
GC 22244,-0.29214424,-0.61255849,-0.73445479,7.0
GC 22245,-0.37218612,-0.78047386,-0.50233261,8.7
GC 22246,-0.29207616,-0.61251087,-0.73452158,5.0
GC 22247,-0.35394380,-0.74251853,-0.56867392,8.7
GC 22248,-0.19789071,-0.41521283,-0.88794007,8.5
GC 22249,-0.36895845,-0.77425317,-0.51420005,9.0
GC 22250,-0.39549198,-0.83001883,-0.39326180,5.5
GC 22251,-0.39548940,-0.83001963,-0.39326269,5.7
GC 22252,-0.39560646,-0.83028396,-0.39258638,7.7
GC 22253,-0.05257166,-0.11035175,-0.99250124,7.0
GC 22254,-0.31187001,-0.65475318,-0.68850226,8.2
GC 22255,-0.42958449,-0.90221242,-0.03833936,7.0
GC 22256,-0.38536845,-0.80961088,-0.44274302,8.2
GC 22257,-0.32978069,-0.69716430,-0.63655843,9.0
GC 22258,-0.37950176,-0.80260499,-0.46022131,9.5
GC 22259,-0.42116396,-0.89088367,-0.17013879,8.5
GC 22260,-0.29665717,-0.62861570,-0.71891364,7.5
GC 22261,-0.21011209,-0.44535951,-0.87034925,8.0
GC 22262,-0.09545684,-0.20236465,-0.97464688,7.7
GC 22263,-0.30819268,-0.65336962,-0.69146613,8.2
GC 22264,-0.35330407,-0.74952007,-0.55981774,9.0
GC 22265,-0.33949322,-0.72067202,-0.60446356,8.5
GC 22266,-0.29550873,-0.62818840,-0.71975963,7.7
GC 22267,-0.30601543,-0.65090801,-0.69474695,9.5
GC 22268,-0.22863481,-0.48664787,-0.84314884,6.6
GC 22269,-0.06269848,-0.13357776,-0.98905302,9.7
GC 22270,-0.38178183,-0.81391191,-0.43793840,8.0
GC 22271,-0.29606510,-0.63136066,-0.71674903,9.5
GC 22272,-0.37859820,-0.80741035,-0.45249524,8.5
GC 22273,-0.20884348,-0.44602896,-0.87031177,8.2
GC 22274,-0.37073821,-0.79212203,-0.48486686,7.5
GC 22275,-0.26519472,-0.56679951,-0.78000646,9.2
GC 22276,-0.26631686,-0.56933915,-0.77777134,9.5
GC 22277,-0.20311924,-0.43425092,-0.87759256,5.8
GC 22278,-0.13890132,-0.29698009,-0.94472708,8.0
GC 22279,-0.41404080,-0.88562548,-0.21032768,0.0
GC 22280,-0.40236427,-0.86072629,-0.31185452,4.6
GC 22281,-0.26485339,-0.56658085,-0.78028125,7.7
GC 22282,-0.26819060,-0.57375579,-0.77387214,9.7
GC 22283,-0.30050935,-0.64345333,-0.70403263,8.2
GC 22284,-0.30152039,-0.64597468,-0.70128608,7.3
GC 22285,-0.33823982,-0.72467645,-0.60036478,6.4
GC 22286,-0.30373188,-0.65131308,-0.69536912,9.7
GC 22287,-0.18392532,-0.39454673,-0.90028015,7.0
GC 22288,-0.25929086,-0.55651377,-0.78934192,8.0
GC 22289,-0.30783212,-0.66110180,-0.68423957,8.5
GC 22290,-0.35066213,-0.75384863,-0.55565126,9.2
GC 22291,-0.30181284,-0.65042302,-0.69703580,10.0
GC 22292,-0.34268016,-0.73949974,-0.57940525,8.2
GC 22293,-0.13886013,-0.29967622,-0.94388136,5.9
GC 22294,-0.25788674,-0.55659931,-0.78974150,7.5
GC 22295,-0.19717543,-0.42583909,-0.88305318,7.4
GC 22296,-0.38018450,-0.82130402,-0.42534627,7.1
GC 22297,-0.29196335,-0.63083136,-0.71889443,5.9
GC 22298,-0.38157982,-0.82635725,-0.41416245,8.0
GC 22299,-0.41530307,-0.90073968,-0.12724542,5.7
GC 22300,-0.29736595,-0.64515631,-0.70380880,9.7
GC 22301,-0.41432583,-0.89918245,-0.14073036,5.2
GC 22302,-0.31662071,-0.68721347,-0.65382641,7.7
GC 22303,-0.12946670,-0.28162589,-0.95074983,8.5
GC 22304,-0.29784713,-0.64833222,-0.70067997,9.2
GC 22305,-0.29559187,-0.64371186,-0.70587569,9.5
GC 22306,-0.26427264,-0.57572200,-0.77375975,7.7
GC 22307,-0.34963347,-0.76187037,-0.54526139,7.2
GC 22308,-0.38014434,-0.82871926,-0.41074891,8.0
GC 22309,-0.40591941,-0.88527443,-0.22697711,8.0
GC 22310,-0.25999316,-0.56730959,-0.78138555,8.5
GC 22311,-0.30040804,-0.65576501,-0.69262346,8.5
GC 22312,-0.13118697,-0.28667543,-0.94900326,6.7
GC 22313,-0.18525629,-0.40486118,-0.89541473,7.7
GC 22314,-0.37314277,-0.81638816,-0.44076620,1.4
GC 22315,-0.29624604,-0.64828896,-0.70139840,9.0
GC 22316,-0.22656916,-0.49591674,-0.83829172,8.2
GC 22317,-0.29788260,-0.65313262,-0.69619231,9.7
GC 22318,-0.32812757,-0.72003245,-0.61146183,7.5
GC 22319,-0.34434958,-0.75581447,-0.55692716,8.7
GC 22320,-0.20329404,-0.44629360,-0.87148927,8.2
GC 22321,-0.41058027,-0.90154593,-0.13652392,9.0
GC 22322,-0.41056286,-0.90155291,-0.13653016,6.7
GC 22323,-0.29435505,-0.64642011,-0.70391487,9.5
GC 22324,-0.20317335,-0.44639173,-0.87146716,8.0
GC 22325,-0.37557126,-0.82723375,-0.41788822,8.0
GC 22326,-0.19497853,-0.42962929,-0.88170406,7.5
GC 22327,-0.37481448,-0.82622283,-0.42055907,7.5
GC 22328,-0.36556023,-0.80693974,-0.46391160,7.2
GC 22329,-0.16944565,-0.37425250,-0.91171445,8.0
GC 22330,-0.29634506,-0.65489358,-0.69519350,8.5
GC 22331,-0.37411626,-0.82679555,-0.42005493,5.5
GC 22332,-0.39912914,-0.88312016,-0.24656584,6.1
GC 22333,-0.29330138,-0.64979213,-0.70124495,9.5
GC 22334,-0.35897675,-0.79563153,-0.48796122,8.2
GC 22335,-0.30102640,-0.66727006,-0.68127364,7.7
GC 22336,-0.36671168,-0.81290445,-0.45244768,7.7
GC 22337,-0.10484893,-0.23248008,-0.96693315,7.5
GC 22338,-0.40371732,-0.89529932,-0.18828559,7.7
GC 22339,-0.29671732,-0.65820608,-0.69189854,9.5
GC 22340,-0.30736048,-0.68243555,-0.66318267,5.9
GC 22341,-0.25222170,-0.56012785,-0.78907604,8.0
GC 22342,-0.34014256,-0.75542440,-0.56003305,7.3
GC 22343,-0.29224128,-0.64911458,-0.70231424,8.2
GC 22344,-0.19262424,-0.42808040,-0.88297399,7.0
GC 22345,-0.32007464,-0.71144964,-0.62561300,7.5
GC 22346,-0.29379230,-0.65376966,-0.69733157,9.0
GC 22347,-0.33805716,-0.75236202,-0.56539256,4.6
GC 22348,-0.07978445,-0.17772511,-0.98084057,7.7
GC 22349,-0.25914426,-0.57755423,-0.77412878,8.5
GC 22350,-0.28578426,-0.63864944,-0.71446081,9.0
GC 22351,-0.28567282,-0.63883399,-0.71434038,9.0
GC 22352,-0.25640955,-0.57373787,-0.77786824,8.2
GC 22353,-0.36578275,-0.81877805,-0.44249913,6.5
GC 22354,-0.17088397,-0.38259350,-0.90797626,6.0
GC 22355,-0.40442079,-0.90584839,-0.12602583,6.8
GC 22356,-0.24570528,-0.55046196,-0.79788505,7.2
GC 22357,-0.26563940,-0.59527807,-0.75834011,8.0
GC 22358,-0.39036418,-0.87663162,-0.28130554,4.6
GC 22359,-0.24513284,-0.55054181,-0.79800602,7.5
GC 22360,-0.34019893,-0.76447781,-0.54757499,8.0
GC 22361,-0.30783133,-0.69204509,-0.65292685,7.5
GC 22362,-0.28859661,-0.64900883,-0.70391728,9.0
GC 22363,-0.28419948,-0.63916669,-0.71463039,8.5
GC 22364,-0.16045019,-0.36087060,-0.91871005,7.0
GC 22365,-0.36544942,-0.82331560,-0.43427888,8.5
GC 22366,-0.16025423,-0.36129581,-0.91857712,7.5
GC 22367,-0.30231041,-0.68234690,-0.66559081,9.7
GC 22368,-0.30704784,-0.69305612,-0.65222300,9.0
GC 22369,-0.40094135,-0.90638736,-0.13307137,8.2
GC 22370,-0.35445736,-0.80167844,-0.48132282,7.6
GC 22371,-0.27132843,-0.61388369,-0.74130135,7.1
GC 22372,-0.15980315,-0.36163967,-0.91852039,8.7
GC 22373,-0.28597812,-0.64740692,-0.70645651,9.0
GC 22374,-0.37651025,-0.85294055,-0.36156943,4.7
GC 22375,-0.27899964,-0.63217466,-0.72285158,7.5
GC 22376,-0.26684239,-0.60489355,-0.75026591,9.0
GC 22377,-0.21930023,-0.49716829,-0.83948264,7.7
GC 22378,-0.26898326,-0.60993997,-0.74540006,7.5
GC 22379,-0.17708805,-0.40156060,-0.89854822,8.5
GC 22380,-0.33706892,-0.76522000,-0.54847323,7.2
GC 22381,-0.28888338,-0.65586194,-0.69741774,9.7
GC 22382,-0.17319818,-0.39338455,-0.90291250,8.5
GC 22383,-0.26165941,-0.59437544,-0.76042895,8.0
GC 22384,-0.30624515,-0.69598680,-0.64947385,8.5
