name,x,y,z,mag
U 209,0.95811800,0.09107079,0.27150691,5.5
U 210,0.82824441,0.07875282,-0.55480554,5.2
U 211,0.98703410,0.09516381,0.12925763,9.5
U 212,0.98916281,0.09557132,0.11145881,8.8
U 213,0.92911537,0.08980637,-0.35871917,6.5
U 214,0.86218013,0.08379404,-0.49962384,6.5
U 215,0.80305682,0.07842411,0.59071939,6.0
U 216,0.80098475,0.07811692,-0.59356649,8.1
U 217,0.89948667,0.08893094,-0.42780255,6.7
U 218,0.23515991,0.02361450,0.97166978,6.0
U 219,0.98664686,0.09909944,0.12925659,9.0
U 220,0.78784760,0.08007587,0.61064230,6.7
U 221,0.80062407,0.08132402,-0.59362235,8.1
U 222,0.99150357,0.10096314,-0.08201897,8.2
U 223,0.99461632,0.10210663,-0.01768109,8.0
U 224,0.86948913,0.08957542,0.48576218,6.0
U 225,0.73103727,0.07541747,0.67815685,8.5
U 226,0.73102360,0.07555002,0.67815684,8.2
U 227,0.07580139,0.00799425,0.99709089,7.5
U 228,0.99140417,0.10271247,-0.08104268,5.7
U 229,0.99201778,0.10303736,0.07269127,6.8
U 230,0.98523925,0.10384828,0.13608513,8.0
U 231,0.99347221,0.10484822,0.04494229,9.0
U 232,0.99429518,0.10503732,-0.01855405,8.6
U 233,0.90507450,0.09562296,-0.41436265,5.0
U 234,0.95892687,0.10203238,0.26466704,7.2
U 235,0.73093602,0.07787423,0.67798830,8.0
U 236,0.78031601,0.08456572,0.61964148,6.0
U 237,0.99370799,0.10912044,0.02524206,8.9
U 238,0.95863008,0.10542915,0.26441077,7.2
U 239,0.80131851,0.08835142,0.59167784,7.7
U 240,0.46277394,0.05253848,0.88491807,4.0
U 241,0.98766469,0.11229877,0.10912121,6.5
U 242,0.78127991,0.08914060,0.61778285,6.0
U 243,0.93595084,0.10679683,0.33554503,6.0
U 244,0.89794639,0.10274336,-0.42794401,6.7
U 245,0.81212495,0.09326235,0.57598195,8.0
U 246,0.97916527,0.11272232,-0.16890547,8.4
U 247,0.99310181,0.11441638,0.02564541,8.7
U 248,0.99316466,0.11502867,-0.01980817,9.0
U 249,0.89246282,0.10336949,-0.43911829,5.7
U 250,0.99004904,0.11637273,-0.07912197,6.6
U 251,0.98061439,0.11613030,0.15782639,9.0
U 252,0.98966361,0.11730822,-0.08249072,8.0
U 253,0.40291977,0.04796118,0.91397778,6.5
U 254,0.99276708,0.11789864,-0.02265920,7.6
U 255,0.93463132,0.11111933,0.33781177,7.5
U 256,0.88636614,0.10642790,-0.45058647,7.5
U 257,0.99177233,0.11950343,0.04589740,7.7
U 258,0.85764482,0.10340378,-0.50373905,6.2
U 259,0.76746082,0.09256996,-0.63437740,7.2
U 260,0.97939528,0.11857553,-0.16347699,9.2
U 261,0.80646891,0.09759390,-0.58316664,6.5
U 262,0.80645579,0.09759409,-0.58318475,8.0
U 263,0.98851524,0.12004320,0.09180003,8.0
U 264,0.97875820,0.11887740,0.16703458,7.3
U 265,0.98296564,0.12009595,0.13912406,9.2
U 266,0.83252347,0.10194340,-0.54452936,7.6
U 267,0.98834491,0.12184471,-0.09125904,7.4
U 268,0.98834223,0.12191808,-0.09119001,9.2
U 269,0.80126014,0.10002842,0.58989533,8.7
U 270,0.80131585,0.10007623,0.58981155,6.5
U 271,0.99208004,0.12405753,0.01967045,9.5
U 272,0.99020266,0.12384400,0.06450851,8.3
U 273,0.81297959,0.10278899,0.57314798,6.0
U 274,0.98934211,0.12501722,-0.07465175,6.0
U 275,0.88542041,0.11194743,-0.45110804,7.0
U 276,0.80371021,0.10183161,0.58624245,8.0
U 277,0.98358819,0.12531369,0.12981043,8.5
U 278,0.99001487,0.12615591,0.06289066,7.6
U 279,0.99171900,0.12673002,-0.02080679,7.0
U 280,0.99084800,0.12691590,0.04596291,0.0
U 281,0.78616852,0.10138516,0.60963932,6.2
U 282,0.96815600,0.12506051,0.21687283,6.0
U 283,0.87934065,0.11354784,-0.46245746,8.2
U 284,0.98535870,0.12798399,0.11264252,7.0
U 285,0.90906285,0.11925620,-0.39922762,6.3
U 286,0.98137395,0.12895022,0.14239738,8.0
U 287,0.59377571,0.07821837,0.80081976,5.0
U 288,0.88825639,0.11743204,0.44408367,7.5
U 289,0.14132436,0.01886642,0.98978355,6.0
U 290,0.83110787,0.11018083,0.54508705,4.0
U 291,0.83120006,0.11021332,0.54493990,9.0
U 292,0.77062776,0.10201894,-0.62906677,7.2
U 293,0.95952146,0.12750769,0.25111821,5.5
U 294,0.99101761,0.13216965,0.02037856,9.0
U 295,0.98778897,0.13225187,0.08235525,8.2
U 296,0.89688710,0.12031927,-0.42557820,7.2
U 297,0.81468476,0.10965939,0.56944144,6.0
U 298,0.89692948,0.12060636,-0.42540758,7.5
U 299,0.99063638,0.13380961,-0.02710259,8.5
U 300,0.98807233,0.13407163,0.07574875,9.5
U 301,0.89472600,0.12137430,-0.42980654,5.2
U 302,0.98991816,0.13503714,0.04274343,7.0
U 303,0.98261607,0.13479679,0.12765378,7.5
U 304,0.79745916,0.11057599,0.59315415,8.3
U 305,0.98986826,0.13729193,0.03621814,8.0
U 306,0.98753194,0.13705228,0.07744243,8.5
U 307,0.99024376,0.13778697,-0.02078565,6.5
U 308,0.78750587,0.10985569,0.60643733,6.9
U 309,0.85593477,0.11979331,-0.50301614,8.1
U 310,0.86918810,0.12199955,0.47919532,4.0
U 311,0.80209178,0.11272178,0.58646618,8.2
U 312,0.73263003,0.10322184,-0.67275440,6.5
U 313,0.89479548,0.12656883,-0.42816047,0.0
U 314,0.83301483,0.11784299,-0.54055464,0.0
U 315,0.85571985,0.12271649,0.50267704,3.0
U 316,0.89126248,0.12766189,-0.43514784,6.0
U 317,0.98895638,0.14198327,0.04249742,7.0
U 318,0.79965201,0.11546297,0.58925798,7.4
U 319,0.88917850,0.12835946,0.43918726,8.0
U 320,0.55538526,0.08127467,0.82761201,9.0
U 321,0.92523621,0.13559191,0.35433429,6.0
U 322,0.98810699,0.14481070,0.05171497,7.5
U 323,0.55538012,0.08157034,0.82758637,0.0
U 324,0.89125519,0.13183866,-0.43391560,7.8
U 325,0.93891050,0.13914022,-0.31478098,9.5
U 326,0.73111016,0.10847489,-0.67358082,8.0
U 327,0.81375122,0.12091535,-0.56849665,7.0
U 328,0.98592109,0.14677363,0.08010682,9.0
U 329,0.93915333,0.14007446,-0.31364019,9.0
U 330,0.97852737,0.14644877,-0.14504120,8.0
U 331,0.89997696,0.13547143,-0.41435367,6.3
U 332,0.98745288,0.14879525,-0.05288468,9.0
U 333,0.77090097,0.11641344,0.62622648,5.2
U 334,0.98497328,0.14871578,-0.08781378,6.0
U 335,0.85534962,0.12939463,-0.50163139,6.0
U 336,0.41057322,0.06250726,0.90968262,5.5
U 337,0.98616365,0.14971885,0.07117254,9.0
U 338,0.97722961,0.14928045,0.15079006,7.0
U 339,0.98713362,0.15160424,0.05082698,7.9
U 340,0.98808414,0.15279428,0.01853767,8.1
U 341,0.98064464,0.15198166,-0.12344092,9.4
U 342,0.98681958,0.15338147,0.05158722,8.1
U 343,0.88899058,0.13839714,-0.43651114,6.0
U 344,0.98785198,0.15418077,0.01941035,9.0
U 345,0.98149047,0.15345871,0.11457263,8.8
U 346,0.98736166,0.15441833,0.03566411,9.0
U 347,0.98651859,0.15447806,0.05401492,9.0
U 348,0.98716202,0.15482482,0.03924814,9.0
U 349,0.98721602,0.15487413,0.03766348,9.2
U 350,0.97248187,0.15271872,0.17594319,8.8
U 351,0.98574663,0.15509997,-0.06517349,9.0
U 352,0.98527902,0.15558162,0.07084916,8.8
U 353,0.98176705,0.15502177,-0.11000782,8.5
U 354,0.98735406,0.15754606,0.01764081,8.6
U 355,0.98603369,0.15748573,0.05418318,8.5
U 356,0.92253958,0.14797915,-0.35640270,7.6
U 357,0.79150542,0.12739153,-0.59773787,6.4
U 358,0.76558961,0.12363085,-0.63133823,5.0
U 359,0.98192255,0.15910569,0.10253527,8.0
U 360,0.98245585,0.16029351,0.09532311,8.4
U 361,0.26692818,0.04398223,0.96271227,4.7
U 362,0.93483338,0.15354742,-0.32017143,2.0
U 363,0.67063673,0.11072693,0.73347523,6.5
U 364,0.97884517,0.16320028,0.12340101,8.2
U 365,0.97865487,0.16363924,0.12432554,9.0
U 366,0.98019991,0.16469830,-0.10992095,8.1
U 367,0.95645389,0.16079112,-0.24360248,7.0
U 368,0.76519756,0.12857001,-0.63082680,5.2
U 369,0.87702307,0.14770682,-0.45717965,7.7
U 370,0.98497964,0.16699395,0.04391047,7.7
U 371,0.90955405,0.15446915,-0.38581176,6.2
U 372,0.98279243,0.16724566,0.07840867,8.0
U 373,0.98560695,0.16791515,0.01958162,8.0
U 374,0.83533767,0.14227818,-0.53100649,6.7
U 375,0.98525296,0.17016680,0.01788500,8.8
U 376,0.97772055,0.16889324,0.12464992,8.0
U 377,0.95794847,0.16546846,-0.23442467,5.2
U 378,0.26885092,0.04674684,0.96204673,5.5
U 379,0.98477067,0.17076937,-0.03262747,8.5
U 380,0.98482900,0.17157577,-0.02595368,9.0
U 381,0.98193637,0.17140388,0.08013538,8.3
U 382,0.97899699,0.17150605,-0.11022959,8.2
U 383,0.90514499,0.15952241,-0.39403698,6.5
U 384,0.98433041,0.17433036,-0.02650591,9.0
U 385,0.96994754,0.17230382,0.17179393,9.0
U 386,0.98067022,0.17430236,-0.08890786,8.0
U 387,0.98412335,0.17506539,0.02921209,8.2
U 388,0.97578830,0.17388318,0.13267191,9.0
U 389,0.96536648,0.17241290,0.19580946,5.5
U 390,0.84490734,0.15100700,-0.51315541,6.6
U 391,0.90203020,0.16196126,0.40013756,4.0
U 392,0.98368628,0.17700791,-0.03208587,9.0
U 393,0.97859872,0.17664993,0.10554311,6.1
U 394,0.98306642,0.17875661,0.04032984,9.0
U 395,0.92305922,0.16809817,0.34598365,6.0
U 396,0.80530106,0.14694598,0.57436668,8.0
U 397,0.98303279,0.17928928,0.03875432,9.1
U 398,0.53352909,0.09767477,0.84012282,3.7
U 399,0.93148160,0.17049180,-0.32136363,6.0
U 400,0.77919116,0.14283443,-0.61029457,7.0
U 401,0.83378145,0.15308560,-0.53044631,6.4
U 402,0.62838144,0.11577695,0.76924149,5.0
U 403,0.97259351,0.17892569,0.14848389,8.0
U 404,0.98173007,0.18081202,0.05927134,9.0
U 405,0.98017532,0.18085062,0.08092834,6.4
U 406,0.90915632,0.16780580,-0.38115089,5.8
U 407,0.85139784,0.15718170,-0.50041546,7.1
U 408,0.33478112,0.06214060,0.94024473,7.0
U 409,0.98152821,0.18154430,0.06036583,9.0
U 410,0.98309679,0.18194294,-0.02043195,8.0
U 411,0.74812961,0.13917361,0.64879333,0.0
U 412,0.97596799,0.18175166,0.12021988,4.5
U 413,0.94757312,0.17689891,-0.26610515,8.0
U 414,0.74853842,0.14006713,0.64812918,8.0
U 415,0.86753311,0.16258630,0.47005532,6.0
U 416,0.85810481,0.16125613,-0.48749626,7.0
U 417,0.89196535,0.16770124,-0.41985009,8.5
U 418,0.98222319,0.18561864,0.02798807,9.0
U 419,0.11922490,0.02281085,0.99260520,5.5
U 420,0.74824832,0.14179998,0.64808735,4.0
U 421,0.98105747,0.18630248,0.05308133,8.9
U 422,0.97446939,0.18542492,0.12659784,9.0
U 423,0.89167539,0.16956972,-0.41971551,6.0
U 424,0.97966620,0.18647520,0.07403468,9.0
U 425,0.87501373,0.16680902,0.45445102,6.5
U 426,0.87501442,0.16682895,0.45444237,6.5
U 427,0.95215060,0.18140060,-0.24597368,6.0
U 428,0.89806804,0.17131714,-0.40512249,7.3
U 429,0.89728737,0.17118452,-0.40690446,8.5
U 430,0.98027024,0.18740576,0.06284369,8.8
U 431,0.96699343,0.18527935,0.17491502,8.8
U 432,0.89691025,0.17191172,-0.40742896,6.1
U 433,0.98190769,0.18869938,-0.01580604,7.0
U 434,0.97467866,0.18763499,0.12163316,8.0
U 435,0.89120189,0.17265276,-0.41946420,7.3
U 436,0.96264333,0.18657744,-0.19623118,5.5
U 437,0.97544655,0.18966433,0.11194403,8.2
U 438,0.97316158,0.19109490,0.12821579,7.9
U 439,0.79025106,0.15539821,0.59275177,7.6
U 440,0.98044553,0.19346238,0.03603980,7.3
U 441,0.97980198,0.19431304,0.04722847,6.0
U 442,0.98066418,0.19454444,-0.02121874,8.1
U 443,0.98030933,0.19519422,0.02988021,9.0
U 444,0.97896057,0.19554312,0.05830173,9.2
U 445,0.98037396,0.19609184,-0.02036900,7.7
U 446,0.97866136,0.19683914,0.05896004,8.1
U 447,0.75967121,0.15260032,-0.63214935,6.8
U 448,0.48362887,0.09757079,0.86981783,5.5
U 449,0.96560093,0.19474173,0.17230930,8.6
U 450,0.77355519,0.15742747,0.61386395,5.8
U 451,0.76834088,0.15665670,0.62057309,7.5
U 452,0.96417429,0.19697059,0.17768096,9.0
U 453,0.97440099,0.19916602,0.10428619,9.0
U 454,0.97236523,0.19889234,0.12226077,8.6
U 455,0.85116556,0.17463071,0.49499626,6.5
