name,x,y,z,mag
G 7132,-0.41186778,0.16860717,-0.89550910,9.0
G 7133,-0.41521127,0.16989682,-0.89371957,9.5
G 7134,-0.30859989,0.12639532,-0.94275677,9.5
G 7135,-0.21966386,0.09024518,-0.97139261,9.8
G 7136,-0.23332800,0.09572678,-0.96767475,8.0
G 7137,-0.32102010,0.13129489,-0.93792737,9.0
G 7138,-0.41110952,0.16759263,-0.89604781,9.2
G 7139,-0.41931165,0.17085707,-0.89161965,10.0
G 7140,-0.28874635,0.11789731,-0.95011882,9.0
G 7141,-0.33638528,0.13696180,-0.93171155,7.8
G 7142,-0.09334035,0.03870333,-0.99488172,10.5
G 7143,-0.41208446,0.16716416,-0.89567993,8.2
G 7144,-0.30827503,0.12525615,-0.94301506,10.0
G 7145,-0.37087655,0.15041050,-0.91642090,9.2
G 7146,-0.31740324,0.12886835,-0.93949355,9.0
G 7147,-0.31894991,0.12935980,-0.93890202,9.5
G 7148,-0.42719149,0.17272896,-0.88750895,9.5
G 7149,-0.32961728,0.13340997,-0.93464123,9.0
G 7150,-0.18694875,0.07607582,-0.97941954,9.5
G 7151,-0.25224892,0.10213401,-0.96225731,9.2
G 7152,-0.18647783,0.07562223,-0.97954443,10.0
G 7153,-0.42924331,0.17254389,-0.88655444,9.5
G 7154,-0.40050165,0.16072051,-0.90209054,9.5
G 7155,-0.29302553,0.11762523,-0.94884158,10.0
G 7156,-0.35380711,0.14180661,-0.92450604,9.5
G 7157,-0.28039864,0.11257740,-0.95325911,10.0
G 7158,-0.31632350,0.12659112,-0.94016707,8.8
G 7159,-0.25938581,0.10395718,-0.96016244,10.0
G 7160,-0.35507530,0.14186491,-0.92401075,9.8
G 7161,-0.24927432,0.09988477,-0.96326806,8.9
G 7162,-0.42687798,0.17030981,-0.88812711,9.5
G 7163,-0.25663844,0.10272533,-0.96103289,8.8
G 7164,-0.31877233,0.12723321,-0.93925285,9.0
G 7165,-0.42917384,0.17087946,-0.88691038,9.5
G 7166,-0.14060767,0.05662267,-0.98844492,10.8
G 7167,-0.10500910,0.04252442,-0.99356166,9.5
G 7168,-0.28802610,0.11477846,-0.95071913,9.0
G 7169,-0.28924302,0.11523116,-0.95029483,8.5
G 7170,-0.20133217,0.08047949,-0.97621125,10.0
G 7171,-0.06585311,0.02697346,-0.99746469,8.0
G 7172,-0.21985185,0.08776762,-0.97157707,10.0
G 7173,-0.02542844,0.01100289,-0.99961609,8.6
G 7174,-0.14077931,0.05650520,-0.98842721,7.5
G 7175,-0.35214682,0.13984843,-0.92543775,10.0
G 7176,-0.25034692,0.09968055,-0.96301101,9.2
G 7177,-0.23006158,0.09167318,-0.96884864,7.2
G 7178,-0.20454883,0.08153177,-0.97545494,9.0
G 7179,-0.43070839,0.17044821,-0.88624922,7.5
G 7180,-0.33752998,0.13368006,-0.93177420,9.0
G 7181,-0.15300869,0.06112594,-0.98633258,8.1
G 7182,-0.12761240,0.05113151,-0.99050525,10.0
G 7183,-0.14574286,0.05824061,-0.98760673,8.0
G 7184,-0.23830250,0.09453159,-0.96657938,8.0
G 7185,-0.30206146,0.11954870,-0.94576265,7.4
G 7186,-0.42939889,0.16943442,-0.88707867,10.0
G 7187,-0.32137110,0.12706521,-0.93838960,9.0
G 7188,-0.31514579,0.12461536,-0.94082631,9.0
G 7189,-0.29205512,0.11549135,-0.94940274,9.2
G 7190,-0.40214778,0.15840302,-0.90176807,7.7
G 7191,-0.42935798,0.16873003,-0.88723272,10.0
G 7192,-0.16345891,0.06482787,-0.98441787,7.0
G 7193,-0.35589770,0.13988158,-0.92399674,9.8
G 7194,-0.31850353,0.12526399,-0.93960866,9.5
G 7195,-0.31063187,0.12183754,-0.94268948,10.0
G 7196,-0.41044572,0.16063158,-0.89762565,7.4
G 7197,-0.19407436,0.07647456,-0.97800142,4.7
G 7198,-0.17325145,0.06822716,-0.98251157,9.2
G 7199,-0.33949731,0.13269435,-0.93120019,8.5
G 7200,-0.40362637,0.15749603,-0.90126619,9.0
G 7201,-0.27337718,0.10686920,-0.95595182,9.5
G 7202,-0.15585651,0.06131783,-0.98587467,10.0
G 7203,-0.27338947,0.10676950,-0.95595945,10.0
G 7204,-0.32388106,0.12622442,-0.93763983,8.8
G 7205,-0.42127970,0.16385188,-0.89200671,9.0
G 7206,-0.41641247,0.16197002,-0.89463197,7.7
G 7207,-0.42264552,0.16405693,-0.89132266,9.0
G 7208,-0.29601921,0.11518583,-0.94821140,9.0
G 7209,-0.37908360,0.14702171,-0.91360836,9.0
G 7210,-0.37282295,0.14447722,-0.91658572,9.0
G 7211,-0.37162745,0.14394263,-0.91715514,9.0
G 7212,-0.20593483,0.08001284,-0.97528908,9.5
G 7213,-0.10419407,0.04084858,-0.99371776,9.5
G 7214,-0.43151408,0.16591513,-0.88671741,10.0
G 7215,-0.40258940,0.15481765,-0.90219359,6.7
G 7216,-0.41860301,0.16084313,-0.89381263,8.7
G 7217,-0.41845182,0.16071917,-0.89390571,10.0
G 7218,-0.43348379,0.16639720,-0.88566572,9.5
G 7219,-0.16756257,0.06487991,-0.98372424,8.2
G 7220,-0.18851846,0.07276509,-0.97937022,10.0
G 7221,-0.13549867,0.05249624,-0.98938580,8.8
G 7222,-0.27440775,0.10525567,-0.95583557,9.0
G 7223,-0.40948043,0.15651902,-0.89879229,7.2
G 7224,-0.15952292,0.06151780,-0.98527559,9.0
G 7225,-0.48091528,0.18335670,-0.85738020,7.0
G 7226,-0.34759260,0.13280090,-0.92819357,10.0
G 7227,-0.11825697,0.04578673,-0.99192684,9.0
G 7228,-0.24950586,0.09545231,-0.96365745,7.3
G 7229,-0.25995935,0.09937311,-0.96049264,6.5
G 7230,-0.41234891,0.15683732,-0.89742433,7.5
G 7231,-0.36569676,0.13910893,-0.92027962,10.0
G 7232,-0.28040229,0.10687511,-0.95391418,8.5
G 7233,-0.38849873,0.14758878,-0.90955280,9.5
G 7234,-0.22733803,0.08675237,-0.96994404,9.5
G 7235,-0.42266612,0.16022272,-0.89201011,9.0
G 7236,-0.41803566,0.15808939,-0.89456913,8.3
G 7237,-0.24229672,0.09199309,-0.96583103,9.5
G 7238,-0.42126094,0.15873240,-0.89294078,9.5
G 7239,-0.42702484,0.16073822,-0.88983876,7.5
G 7240,-0.23015742,0.08703142,-0.96925388,9.5
G 7241,-0.12984634,0.04950049,-0.99029775,9.8
G 7242,-0.36486781,0.13727074,-0.92088448,9.0
G 7243,-0.20559186,0.07769438,-0.97554886,9.5
G 7244,-0.36206027,0.13605760,-0.92217172,9.2
G 7245,-0.48844068,0.18298630,-0.85319501,6.5
G 7246,-0.18074170,0.06831376,-0.98115527,8.0
G 7247,-0.41323111,0.15490555,-0.89735407,5.5
G 7248,-0.30505330,0.11449481,-0.94542764,9.5
G 7249,-0.13031432,0.04938617,-0.99024198,9.0
G 7250,-0.41433689,0.15495593,-0.89683533,8.4
G 7251,-0.27957522,0.10477317,-0.95439000,8.5
G 7252,-0.33725917,0.12610237,-0.93292789,9.5
G 7253,-0.26806091,0.10041717,-0.95815434,9.0
G 7254,-0.27795581,0.10407393,-0.95493936,9.5
G 7255,-0.36240348,0.13532405,-0.92214485,9.2
G 7256,-0.20494102,0.07689237,-0.97574932,10.0
G 7257,-0.41042411,0.15300545,-0.89896684,8.5
G 7258,-0.29514725,0.10997829,-0.94910109,9.0
G 7259,-0.41467331,0.15407867,-0.89683098,9.0
G 7260,-0.41477037,0.15404558,-0.89679178,2.8
G 7261,-0.13626020,0.05116818,-0.98935078,9.5
G 7262,-0.12589084,0.04730854,-0.99091543,9.0
G 7263,-0.43514280,0.16108596,-0.88583410,9.0
G 7264,-0.34440917,0.12766964,-0.93009827,9.4
G 7265,-0.41806272,0.15465154,-0.89515723,10.0
G 7266,-0.04736539,0.01829128,-0.99871014,8.4
G 7267,-0.41989527,0.15490876,-0.89425457,6.8
G 7268,-0.48482624,0.17855492,-0.85619020,8.0
G 7269,-0.42611646,0.15704024,-0.89093385,9.0
G 7270,-0.36925432,0.13611790,-0.91930580,10.0
G 7271,-0.37212814,0.13712676,-0.91799613,9.0
G 7272,-0.01806344,0.00751187,-0.99980862,7.3
G 7273,-0.29264012,0.10795792,-0.95010886,9.5
G 7274,-0.43212872,0.15884818,-0.88771168,10.0
G 7275,-0.39927963,0.14675694,-0.90500728,9.5
G 7276,-0.13738361,0.05109477,-0.98919921,9.5
G 7277,-0.41749396,0.15327319,-0.89565960,6.7
G 7278,-0.36953348,0.13575820,-0.91924682,10.0
G 7279,-0.30287259,0.11133049,-0.94650606,9.2
G 7280,-0.43330223,0.15881676,-0.88714509,9.5
G 7281,-0.30414176,0.11172010,-0.94605307,9.0
G 7282,-0.42187086,0.15438893,-0.89341426,6.5
G 7283,-0.36749143,0.13449594,-0.92025045,9.0
G 7284,-0.35882092,0.13119030,-0.92414104,9.5
G 7285,-0.29731253,0.10885052,-0.94855512,7.7
G 7286,-0.33980543,0.12408324,-0.93227443,9.0
G 7287,-0.08587028,0.03198781,-0.99579269,9.0
G 7288,-0.24613272,0.08990742,-0.96505717,7.5
G 7289,-0.42447171,0.15420040,-0.89221410,9.0
G 7290,-0.07445175,0.02778961,-0.99683734,6.9
G 7291,-0.48375252,0.17554429,-0.85741921,1.0
G 7292,-0.38211086,0.13857496,-0.91366748,9.0
G 7293,-0.35324125,0.12805063,-0.92672739,9.0
G 7294,-0.20289253,0.07387391,-0.97641040,10.0
G 7295,-0.35851632,0.12958423,-0.92448579,9.8
G 7296,-0.08775588,0.03238558,-0.99561543,8.2
G 7297,-0.28962416,0.10477709,-0.95138825,10.0
G 7298,-0.31854416,0.11505063,-0.94090009,7.0
G 7299,-0.30207788,0.10908729,-0.94702108,9.2
G 7300,-0.29986668,0.10828786,-0.94781523,8.0
G 7301,-0.31870945,0.11499368,-0.94085107,11.0
G 7302,-0.48814301,0.17560080,-0.85491565,8.0
G 7303,-0.38146357,0.13734428,-0.91412368,10.0
G 7304,-0.31871276,0.11479765,-0.94087389,7.0
G 7305,-0.48710043,0.17493544,-0.85564640,7.5
G 7306,-0.41195690,0.14774614,-0.89914548,8.8
G 7307,-0.17737314,0.06410733,-0.98205347,7.0
G 7308,-0.22882817,0.08238303,-0.96997459,9.0
G 7309,-0.29413555,0.10563137,-0.94990857,7.0
G 7310,-0.12334842,0.04473882,-0.99135443,9.0
G 7311,-0.41885869,0.15049783,-0.89549305,9.5
G 7312,-0.39877593,0.14194779,-0.90599591,9.0
G 7313,-0.41393317,0.14728824,-0.89831259,8.7
G 7314,-0.02515972,0.00977008,-0.99963570,9.5
G 7315,-0.36097796,0.12841129,-0.92369121,9.2
G 7316,-0.41518959,0.14752751,-0.89769329,6.9
G 7317,-0.31617242,0.11252228,-0.94200517,10.0
G 7318,-0.43310684,0.15376955,-0.88812915,7.0
G 7319,-0.41901226,0.14849599,-0.89575536,6.9
G 7320,-0.20307988,0.07235105,-0.97648548,10.0
G 7321,-0.32593925,0.11544842,-0.93831512,9.0
G 7322,-0.41396621,0.14623332,-0.89846970,9.2
G 7323,-0.08827844,0.03186755,-0.99558595,10.5
G 7324,-0.35860034,0.12663436,-0.92486190,9.5
G 7325,-0.41748546,0.14721368,-0.89667944,6.2
G 7326,-0.38116864,0.13436615,-0.91468913,10.0
G 7327,-0.28501987,0.10052365,-0.95323589,8.2
G 7328,-0.41942714,0.14731129,-0.89575681,8.7
G 7329,-0.35955258,0.12632794,-0.92453404,9.5
G 7330,-0.08789385,0.03153459,-0.99563057,9.5
G 7331,-0.25740273,0.09063014,-0.96204470,8.5
G 7332,-0.25448028,0.08955552,-0.96292242,8.0
G 7333,-0.34508231,0.12096735,-0.93074438,7.5
G 7334,-0.29930368,0.10499763,-0.94836322,8.0
G 7335,-0.39508244,0.13813663,-0.90820049,8.8
G 7336,-0.21883654,0.07688428,-0.97272780,9.0
G 7337,-0.29574908,0.10338532,-0.94965465,10.0
G 7338,-0.41559118,0.14489345,-0.89793645,7.2
G 7339,-0.14139497,0.04982460,-0.98869863,9.0
G 7340,-0.39519751,0.13765598,-0.90822341,9.8
G 7341,-0.41992397,0.14600645,-0.89573767,7.6
G 7342,-0.29637108,0.10316043,-0.94948518,9.0
G 7344,-0.32882854,0.11423256,-0.93745545,10.0
G 7345,-0.08966731,0.03177261,-0.99546485,8.5
G 7346,-0.42570929,0.14759715,-0.89274111,9.0
G 7347,-0.34197772,0.11868592,-0.93218286,7.5
G 7348,-0.03209892,0.01187394,-0.99941416,9.1
G 7349,-0.29506386,0.10214841,-0.95000159,9.5
