index1,index2,mag,dist
69G Ant,CD -39°6488,7.0,24.44
70G Ant,CD -36°6485,6.9,18.98
U Ant,CD -38°6579,5.9,10.50
72G Ant,CD -32°7479,6.9,36.79
73G Ant,CD -31°8383,7.0,12.60
74G Ant,CD -35°6590,7.0,36.08
75G Ant,CD -36°6565,6.9,25.08
76G Ant,CD -35°6646,6.5,42.07
77G Ant,CD -35°6656,6.9,60.05
78G Ant,CD -32°7572,5.9,1.27
79G Ant,CD -36°6644,6.8,30.39
80G Ant,CD -33°7288,5.8,26.01
81G Ant,CD -34°7042,6.7,7.39
82G Ant,CD -35°6821,6.9,13.45
83G Ant,CD -38°6818,7.0,6.12
iota Ant,CD -36°6808,5.1,8.51
85G Ant,CD -35°6954,5.8,24.13
1G Aps,CD -72°933,7.0,15.01
2G Aps,CD -72°935,7.0,18.55
3G Aps,CD -77°626,6.5,12.00
theta Aps,CD -76°615,0.0,7.16
5G Aps,CD -74°865,6.4,7.25
eta Aps,CD -80°523,5.3,6.00
7G Aps,CD -77°643,6.9,6.87
8G Aps,CD -82°255,6.8,4.04
epsilon Aps,CD -79°559,5.5,13.18
10G Aps,CD -73°950,6.7,12.74
11G Aps,CD -76°639,6.5,18.70
12G Aps,CD -76°655,6.7,6.95
13G Aps,CD -74°917,6.9,16.94
alpha Aps,CD -78°604,4.0,24.00
15G Aps,CD -76°677,6.7,3.46
16G Aps,CD -74°929,6.9,7.23
17G Aps,CD -72°1039,6.1,12.80
R Aps,CD -76°688,0.0,7.18
19G Aps,CD -76°689,6.4,18.33
20G Aps,CD -74°947,6.5,8.00
21G Aps,CD -70°1219,6.8,15.48
22G Aps,CD -79°583,7.0,12.29
23G Aps,CD -71°1119,6.8,18.47
24G Aps,CD -78°640,7.0,0.00
25G Aps,CD -72°1096,6.4,9.13
26G Aps,CD -71°1139,6.8,12.93
27G Aps,CD -73°1073,6.7,4.15
28G Aps,CD -71°1147,6.9,12.90
kappa1 Aps,CD -72°1139,5.8,7.44
30G Aps,CD -71°1162,6.7,9.66
31G Aps,CD -70°1302,6.9,25.98
32G Aps,CD -77°739,6.7,3.25
kappa2 Aps,CD -73°1114,6.0,12.00
34G Aps,CD -75°833,6.3,0.00
35G Aps,CD -77°764,6.7,12.00
36G Aps,CD -72°1198,7.0,6.00
37G Aps,CD -73°1159,6.8,7.41
38G Aps,CD -72°1206,6.1,15.11
39G Aps,CD -71°1233,7.0,6.00
delta1 Aps,CD -78°712,5.2,3.02
delta2 Aps,CD -78°713,5.5,12.00
42G Aps,CD -72°1223,6.7,8.91
43G Aps,CD -71°1255,7.0,20.35
gamma Aps,CD -78°729,3.9,24.00
45G Aps,CD -70°1434,5.9,15.56
46G Aps,CD -71°1282,6.7,15.40
beta Aps,CD -77°828,4.5,0.00
48G Aps,CD -72°1257,6.8,12.86
49G Aps,CD -73°1238,6.7,18.50
50G Aps,CD -70°1475,6.6,4.91
51G Aps,CD -76°871,6.8,22.57
52G Aps,CD -82°289,7.0,2.05
53G Aps,CD -73°1247,6.8,19.97
54G Aps,CD -76°879,6.8,21.02
55G Aps,CD -70°1498,6.6,13.00
56G Aps,CD -74°1187,6.4,4.04
57G Aps,CD -69°1635,7.0,13.06
iota Aps,CD -69°1639,5.8,18.00
59G Aps,CD -80°638,6.4,12.24
zeta Aps,CD -67°2080,5.4,12.90
61G Aps,CD -67°2130,7.0,11.35
