index1,index2,mag,dist
82 Aqr,PPM 207070,6.4,1.58
205G Aqr,PPM 274532,6.5,7.74
206G Aqr,PPM 207104,6.9,7.62
207G Aqr,PPM 241158,6.3,2.48
h Aqr,PPM 207132,5.4,6.31
209G Aqr,PPM 241160,6.9,7.55
c1 Aqr,PPM 274599,4.4,2.93
c2 Aqr,PPM 274643,3.7,3.80
c3 Aqr,PPM 274652,4.9,2.79
213G Aqr,PPM 241256,6.8,4.04
214G Aqr,PPM 207234,6.9,1.85
phi Aqr,PPM 207311,4.1,3.80
216G Aqr,PPM 241368,6.5,12.02
217G Aqr,PPM 207337,5.4,4.28
psi1 Aqr,PPM 207344,4.1,6.86
chi Aqr,PPM 207366,5.3,1.90
220G Aqr,PPM 207370,6.8,6.24
221G Aqr,PPM 241430,6.6,7.29
psi2 Aqr,PPM 207387,4.2,4.82
psi3 Aqr,PPM 207410,4.8,6.86
94 Aqr,PPM 241464,5.5,15.28
225G Aqr,PPM 241468,6.8,10.55
96 Aqr,PPM 207424,5.6,1.70
227G Aqr,PPM 207438,6.5,3.45
228G Aqr,PPM 207450,6.4,2.33
229G Aqr,PPM 207462,6.7,5.28
97 Aqr,PPM 241548,5.3,0.51
b1 Aqr,PPM 274885,3.9,4.35
232G Aqr,PPM 207503,6.9,7.89
233G Aqr,PPM 274913,6.8,4.59
234G Aqr,PPM 241574,6.9,7.00
b2 Aqr,PPM 274952,4.4,4.86
236G Aqr,PPM 274960,7.0,1.11
237G Aqr,PPM 241673,6.7,3.71
238G Aqr,PPM 207606,6.5,9.05
239G Aqr,PPM 207611,6.3,7.24
240G Aqr,PPM 207644,6.5,4.50
241G Aqr,PPM 207648,6.3,12.55
100 Aqr,PPM 275055,6.3,5.63
243G Aqr,PPM 241785,6.8,2.29
b3 Aqr,PPM 275084,4.5,0.10
245G Aqr,PPM 207688,6.8,4.84
246G Aqr,PPM 241843,6.6,1.82
247G Aqr,PPM 207720,6.9,8.89
248G Aqr,PPM 207727,6.5,2.69
249G Aqr,PPM 207737,7.0,13.99
250G Aqr,PPM 241898,6.0,9.40
251G Aqr,PPM 241904,7.0,6.13
252G Aqr,PPM 207770,6.9,1.99
omega1 Aqr,PPM 241928,5.2,0.90
254G Aqr,PPM 207833,7.0,8.51
255G Aqr,PPM 241961,6.2,5.14
A1 Aqr,PPM 241974,5.8,8.65
A2 Aqr,PPM 241983,5.0,9.34
258G Aqr,PPM 241997,5.7,9.16
omega2 Aqr,PPM 242001,4.7,5.50
R Aqr,PPM 242022,0.0,1.91
i1 Aqr,PPM 242033,5.2,2.06
i2 Aqr,PPM 242073,5.4,3.19
264G Aqr,PPM 242109,5.9,6.61
265G Aqr,PPM 207992,6.4,1.94
266G Aqr,PPM 242160,6.8,1.36
267G Aqr,PPM 242173,6.9,5.43
268G Aqr,PPM 208022,5.8,5.58
269G Aqr,PPM 242186,6.0,9.80
i3 Aqr,PPM 242204,5.1,3.65
271G Aqr,PPM 242236,6.2,8.22
272G Aqr,PPM 242239,7.0,3.25
273G Aqr,PPM 208075,5.6,7.91
274G Aqr,PPM 275437,6.3,4.55
275G Aqr,PPM 208125,6.8,0.83
276G Aqr,PPM 242309,7.0,8.89
1G Aql,PPM 180426,7.0,9.46
4 Aql,PPM 166497,5.5,9.59
5 Aql,PPM 180436,6.2,3.86
4G Aql,PPM 166636,6.6,0.68
8 Aql,PPM 202220,6.5,8.63
6G Aql,PPM 180493,6.6,3.60
7G Aql,PPM 166907,6.6,10.12
8G Aql,PPM 135580,6.8,2.34
i Aql,PPM 202441,3.8,4.24
10G Aql,PPM 235404,6.8,2.60
g Aql,PPM 202473,5.7,7.49
12G Aql,PPM 167038,6.8,7.62
13G Aql,PPM 167071,6.3,4.70
14G Aql,PPM 167097,7.0,8.70
h Aql,PPM 202509,5.6,6.04
16G Aql,PPM 180541,6.8,2.44
18G Aql,PPM 202527,6.8,1.62
lambda Aql,PPM 202530,3.3,2.09
20G Aql,PPM 167155,7.0,7.19
21G Aql,PPM 180555,7.0,3.81
R Aql,PPM 167172,0.0,3.24
23G Aql,PPM 167207,6.7,10.24
19 Aql,PPM 167256,5.7,7.06
25G Aql,PPM 180573,6.6,4.10
26G Aql,PPM 202612,7.0,1.34
27G Aql,PPM 167331,7.0,10.11
20 Aql,PPM 202647,5.9,2.63
21 Aql,PPM 167421,5.7,7.75
30G Aql,PPM 167423,6.8,3.47
31G Aql,PPM 202696,6.8,3.87
22 Aql,PPM 167527,6.1,4.45
33G Aql,PPM 167532,6.8,8.79
34G Aql,PPM 167577,6.7,4.43
23 Aql,PPM 167594,5.7,2.70
24 Aql,PPM 167605,6.8,3.59
37G Aql,PPM 167607,6.8,7.27
