CROSS_NORTH - Compare several catalogs.
18) Warning: WB 0h 445 is ALONE (nearest PPM star at 237.4 arcsec).
19) Warning: WB 0h 455 is ALONE (nearest PPM star at 145.8 arcsec).
20) Warning: WB 0h 463 is ALONE (nearest PPM star at 83.7 arcsec).
21) Warning: WB 0h 464 is ALONE (nearest PPM star at 312.3 arcsec).
22) Warning: WB 0h 478 is ALONE (nearest PPM star at 607.4 arcsec).
23) Warning: WB 0h 494 is ALONE (nearest PPM star at 873.9 arcsec).
24) Warning: WB 0h 546 is ALONE (nearest PPM star at 139.4 arcsec).
25) Warning: WB 0h 579 is ALONE (nearest PPM star at 69.9 arcsec).
26) Warning: WB 0h 651 is ALONE (nearest PPM star at 137.4 arcsec).
27) Warning: WB 0h 822 is ALONE (nearest PPM star at 377.5 arcsec).
28) Warning: WB 0h 823 is ALONE (nearest PPM star at 875.1 arcsec).
29) Warning: WB 0h 824 is ALONE (nearest PPM star at 178.4 arcsec).
30) Warning: WB 0h 826 is ALONE (nearest PPM star at 143.8 arcsec).
31) Warning: WB 0h 830 is ALONE (nearest PPM star at 484.2 arcsec).
32) Warning: WB 0h 869 is ALONE (nearest PPM star at 723.2 arcsec).
33) Warning: WB 0h 879 is ALONE (nearest PPM star at 859.4 arcsec).
34) Warning: WB 0h 882 is ALONE (nearest PPM star at 443.2 arcsec).
35) Warning: WB 0h 887 is ALONE (nearest PPM star at 114.0 arcsec).
36) Warning: WB 0h 924 is ALONE (nearest PPM star at 359.8 arcsec).
37) Warning: WB 0h 949 is ALONE (nearest PPM star at 155.8 arcsec).
38) Warning: WB 0h 1014 is ALONE (nearest PPM star at 236.1 arcsec).
39) Warning: WB 1h 9 is ALONE (nearest PPM star at 141.6 arcsec).
40) Warning: WB 1h 19 is ALONE (nearest PPM star at 144.0 arcsec).
41) Warning: WB 1h 47 is ALONE (nearest PPM star at 891.6 arcsec).
42) Warning: WB 1h 141 is ALONE (nearest PPM star at 1098.4 arcsec).
43) Warning: WB 1h 164 is ALONE (nearest PPM star at 405.1 arcsec).
44) Warning: WB 1h 199 is ALONE (nearest PPM star at 427.2 arcsec).
45) Warning: WB 1h 239 is ALONE (nearest PPM star at 360.5 arcsec).
46) Warning: WB 1h 270 is ALONE (nearest PPM star at 108.1 arcsec).
47) Warning: WB 1h 272 is ALONE (nearest PPM star at 298.6 arcsec).
48) Warning: WB 1h 289 is ALONE (nearest PPM star at 369.3 arcsec).
49) Warning: WB 1h 392 is ALONE (nearest PPM star at 144.1 arcsec).
50) Warning: WB 1h 450 is ALONE (nearest PPM star at 61.9 arcsec).
51) Warning: WB 1h 471 is ALONE (nearest PPM star at 202.5 arcsec).
52) Warning: WB 1h 512 is ALONE (nearest PPM star at 717.5 arcsec).
53) Warning: WB 1h 541 is ALONE (nearest PPM star at 600.9 arcsec).
54) Warning: WB 1h 664 is ALONE (nearest PPM star at 739.7 arcsec).
55) Warning: WB 1h 722 is ALONE (nearest PPM star at 787.0 arcsec).
56) Warning: WB 1h 745 is ALONE (nearest PPM star at 65.3 arcsec).
57) Warning: WB 1h 749 is ALONE (nearest PPM star at 622.6 arcsec).
58) Warning: WB 1h 752 is ALONE (nearest PPM star at 1311.2 arcsec).
59) Warning: WB 1h 764 is ALONE (nearest PPM star at 153.2 arcsec).
60) Warning: WB 1h 772 is ALONE (nearest PPM star at 149.7 arcsec).
61) Warning: WB 1h 815 is ALONE (nearest PPM star at 208.3 arcsec).
62) Warning: WB 1h 954 is ALONE (nearest PPM star at 567.6 arcsec).
63) Warning: WB 1h 977 is ALONE (nearest PPM star at 110.8 arcsec).
64) Warning: WB 1h 989 is ALONE (nearest PPM star at 842.4 arcsec).
65) Warning: WB 1h 995 is ALONE (nearest PPM star at 371.4 arcsec).
66) Warning: WB 1h 1000 is ALONE (nearest PPM star at 360.5 arcsec).
67) Warning: WB 1h 1049 is ALONE (nearest PPM star at 538.0 arcsec).
68) Warning: WB 1h 1089 is ALONE (nearest PPM star at 595.0 arcsec).
69) Warning: WB 2h 6 is ALONE (nearest PPM star at 142.4 arcsec).
70) Warning: WB 2h 22 is ALONE (nearest PPM star at 145.8 arcsec).
71) Warning: WB 2h 132 is ALONE (nearest PPM star at 216.9 arcsec).
72) Warning: WB 2h 142 is ALONE (nearest PPM star at 119.5 arcsec).
73) Warning: WB 2h 148 is ALONE (nearest PPM star at 180.8 arcsec).
74) Warning: WB 2h 189 is ALONE (nearest PPM star at 151.4 arcsec).
75) Warning: WB 2h 224 is ALONE (nearest PPM star at 89.7 arcsec).
76) Warning: WB 2h 258 is ALONE (nearest PPM star at 609.1 arcsec).
77) Warning: WB 2h 309 is ALONE (nearest PPM star at 667.1 arcsec).
78) Warning: WB 2h 554 is ALONE (nearest PPM star at 452.4 arcsec).
79) Warning: WB 2h 664 is ALONE (nearest PPM star at 377.9 arcsec).
80) Warning: WB 2h 690 is ALONE (nearest PPM star at 177.7 arcsec).
81) Warning: WB 2h 808 is ALONE (nearest PPM star at 723.0 arcsec).
82) Warning: WB 2h 826 is ALONE (nearest PPM star at 175.8 arcsec).
83) Warning: WB 2h 874 is ALONE (nearest PPM star at 244.4 arcsec).
84) Warning: WB 2h 899 is ALONE (nearest PPM star at 900.3 arcsec).
85) Warning: WB 2h 912 is ALONE (nearest PPM star at 736.1 arcsec).
86) Warning: WB 2h 927 is ALONE (nearest PPM star at 718.9 arcsec).
87) Warning: WB 3h 8 is ALONE (nearest PPM star at 146.1 arcsec).
88) Warning: WB 3h 34 is ALONE (nearest PPM star at 458.8 arcsec).
89) Warning: WB 3h 79 is ALONE (nearest PPM star at 89.9 arcsec).
90) Warning: WB 3h 80 is ALONE (nearest PPM star at 179.3 arcsec).
91) Warning: WB 3h 128 is ALONE (nearest PPM star at 409.9 arcsec).
92) Warning: WB 3h 185 is ALONE (nearest PPM star at 324.8 arcsec).
93) Warning: WB 3h 202 is ALONE (nearest PPM star at 1148.4 arcsec).
94) Warning: WB 3h 281 is ALONE (nearest PPM star at 219.1 arcsec).
95) Warning: WB 3h 305 is ALONE (nearest PPM star at 151.8 arcsec).
96) Warning: WB 3h 326 is ALONE (nearest PPM star at 1180.8 arcsec).
97) Warning: WB 3h 357 is ALONE (nearest PPM star at 422.7 arcsec).
98) Warning: WB 3h 388 is ALONE (nearest PPM star at 138.6 arcsec).
99) Warning: WB 3h 395 is ALONE (nearest PPM star at 315.2 arcsec).
100) Warning: WB 3h 490 is ALONE (nearest PPM star at 180.5 arcsec).
101) Warning: WB 3h 547 is ALONE (nearest PPM star at 903.5 arcsec).
102) Warning: WB 0h 582 is ALONE (nearest PPM star at 771.4 arcsec).
103) Warning: WB 3h 636 is ALONE (nearest PPM star at 846.7 arcsec).
104) Warning: WB 3h 691 is ALONE (nearest PPM star at 305.6 arcsec).
105) Warning: WB 3h 692 is ALONE (nearest PPM star at 181.3 arcsec).
106) Warning: WB 3h 710 is ALONE (nearest PPM star at 82.8 arcsec).
107) Warning: WB 3h 742 is ALONE (nearest PPM star at 823.8 arcsec).
108) Warning: WB 3h 754 is ALONE (nearest PPM star at 834.9 arcsec).
109) Warning: WB 3h 813 is ALONE (nearest PPM star at 324.9 arcsec).
110) Warning: WB 3h 827 is ALONE (nearest PPM star at 302.5 arcsec).
111) Warning: WB 3h 831 is ALONE (nearest PPM star at 271.2 arcsec).
112) Warning: WB 3h 859 is ALONE (nearest PPM star at 236.0 arcsec).
113) Warning: WB 3h 876 is ALONE (nearest PPM star at 161.1 arcsec).
114) Warning: WB 3h 886 is ALONE (nearest PPM star at 527.6 arcsec).
115) Warning: WB 3h 936 is ALONE (nearest PPM star at 122.1 arcsec).
116) Warning: WB 3h 947 is ALONE (nearest PPM star at 356.4 arcsec).
117) Warning: WB 3h 1061 is ALONE (nearest PPM star at 186.5 arcsec).
118) Warning: WB 3h 1067 is ALONE (nearest PPM star at 152.2 arcsec).
119) Warning: WB 3h 1107 is ALONE (nearest PPM star at 707.1 arcsec).
120) Warning: WB 3h 1155 is ALONE (nearest PPM star at 331.5 arcsec).
121) Warning: WB 3h 1163 is ALONE (nearest PPM star at 483.1 arcsec).
122) Warning: WB 4h 43 is ALONE (nearest PPM star at 681.5 arcsec).
123) Warning: WB 4h 81 is ALONE (nearest PPM star at 301.9 arcsec).
124) Warning: WB 4h 145 is ALONE (nearest PPM star at 404.6 arcsec).
125) Warning: WB 4h 166 is ALONE (nearest PPM star at 88.6 arcsec).
126) Warning: WB 4h 217 is ALONE (nearest PPM star at 145.7 arcsec).
127) Warning: WB 4h 255 is ALONE (nearest PPM star at 857.0 arcsec).
128) Warning: WB 4h 303 is ALONE (nearest PPM star at 302.2 arcsec).
129) Warning: WB 4h 344 is ALONE (nearest PPM star at 181.6 arcsec).
130) Warning: WB 4h 362 is ALONE (nearest PPM star at 125.9 arcsec).
131) Warning: WB 4h 403 is ALONE (nearest PPM star at 796.7 arcsec).
132) Warning: WB 4h 464 is ALONE (nearest PPM star at 219.6 arcsec).
133) Warning: WB 4h 473 is ALONE (nearest PPM star at 300.1 arcsec).
134) Warning: WB 4h 527 is ALONE (nearest PPM star at 387.0 arcsec).
135) Warning: WB 4h 584 is ALONE (nearest PPM star at 143.2 arcsec).
136) Warning: WB 4h 585 is ALONE (nearest PPM star at 78.8 arcsec).
137) Warning: WB 4h 613 is ALONE (nearest PPM star at 120.4 arcsec).
138) Warning: WB 4h 616 is ALONE (nearest PPM star at 567.5 arcsec).
139) Warning: WB 4h 635 is ALONE (nearest PPM star at 129.2 arcsec).
140) Warning: WB 4h 668 is ALONE (nearest PPM star at 154.9 arcsec).
141) Warning: WB 4h 733 is ALONE (nearest PPM star at 738.2 arcsec).
142) Warning: WB 4h 742 is ALONE (nearest PPM star at 303.5 arcsec).
143) Warning: WB 4h 769 is ALONE (nearest PPM star at 305.1 arcsec).
144) Warning: WB 4h 789 is ALONE (nearest PPM star at 301.3 arcsec).
145) Warning: WB 4h 844 is ALONE (nearest PPM star at 750.8 arcsec).
146) Warning: WB 4h 911 is ALONE (nearest PPM star at 70.7 arcsec).
147) Warning: WB 4h 980 is ALONE (nearest PPM star at 187.2 arcsec).
148) Warning: WB 4h 1095 is ALONE (nearest PPM star at 140.1 arcsec).
149) Warning: WB 4h 1135 is ALONE (nearest PPM star at 238.1 arcsec).
150) Warning: WB 4h 1264 is ALONE (nearest PPM star at 527.7 arcsec).
151) Warning: WB 4h 1265 is ALONE (nearest PPM star at 537.9 arcsec).
152) Warning: WB 5h 22 is ALONE (nearest PPM star at 96.1 arcsec).
153) Warning: WB 5h 32 is ALONE (nearest PPM star at 387.8 arcsec).
154) Warning: WB 5h 39 is ALONE (nearest PPM star at 64.0 arcsec).
155) Warning: WB 5h 83 is ALONE (nearest PPM star at 192.7 arcsec).
156) Warning: WB 5h 94 is ALONE (nearest PPM star at 531.2 arcsec).
157) Warning: WB 5h 183 is ALONE (nearest PPM star at 412.7 arcsec).
158) Warning: WB 5h 212 is ALONE (nearest PPM star at 150.2 arcsec).
159) Warning: WB 5h 241 is ALONE (nearest PPM star at 235.0 arcsec).
160) Warning: WB 5h 242 is ALONE (nearest PPM star at 616.6 arcsec).
161) Warning: WB 5h 277 is ALONE (nearest PPM star at 350.4 arcsec).
162) Warning: WB 5h 280 is ALONE (nearest PPM star at 368.9 arcsec).
163) Warning: WB 5h 358 is ALONE (nearest PPM star at 70.9 arcsec).
164) Warning: WB 5h 362 is ALONE (nearest PPM star at 391.5 arcsec).
165) Warning: WB 5h 368 is ALONE (nearest PPM star at 411.9 arcsec).
166) Warning: WB 5h 372 is ALONE (nearest PPM star at 146.7 arcsec).
167) Warning: WB 5h 445 is ALONE (nearest PPM star at 418.1 arcsec).
168) Warning: WB 5h 456 is ALONE (nearest PPM star at 544.3 arcsec).
169) Warning: WB 5h 500 is ALONE (nearest PPM star at 148.0 arcsec).
170) Warning: WB 5h 576 is ALONE (nearest PPM star at 717.6 arcsec).
171) Warning: WB 5h 591 is ALONE (nearest PPM star at 147.8 arcsec).
172) Warning: WB 5h 597 is ALONE (nearest PPM star at 70.5 arcsec).
173) Warning: WB 5h 609 is ALONE (nearest PPM star at 222.0 arcsec).
174) Warning: WB 5h 655 is ALONE (nearest PPM star at 386.0 arcsec).
175) Warning: WB 5h 660 is ALONE (nearest PPM star at 208.6 arcsec).
176) Warning: WB 5h 664 is ALONE (nearest PPM star at 133.2 arcsec).
177) Warning: WB 5h 674 is ALONE (nearest PPM star at 705.8 arcsec).
178) Warning: WB 5h 687 is ALONE (nearest PPM star at 883.7 arcsec).
179) Warning: WB 5h 716 is ALONE (nearest PPM star at 161.6 arcsec).
180) Warning: WB 5h 719 is ALONE (nearest PPM star at 206.0 arcsec).
181) Warning: WB 5h 744 is ALONE (nearest PPM star at 713.4 arcsec).
182) Warning: WB 5h 847 is ALONE (nearest PPM star at 689.7 arcsec).
183) Warning: WB 5h 897 is ALONE (nearest PPM star at 101.6 arcsec).
184) Warning: WB 5h 907 is ALONE (nearest PPM star at 270.9 arcsec).
185) Warning: WB 5h 1021 is ALONE (nearest PPM star at 399.9 arcsec).
186) Warning: WB 5h 1065 is ALONE (nearest PPM star at 186.1 arcsec).
187) Warning: WB 5h 1071 is ALONE (nearest PPM star at 63.9 arcsec).
188) Warning: WB 5h 1079 is ALONE (nearest PPM star at 121.4 arcsec).
189) Warning: WB 5h 1108 is ALONE (nearest PPM star at 352.8 arcsec).
190) Warning: WB 5h 1113 is ALONE (nearest PPM star at 263.2 arcsec).
191) Warning: WB 5h 1116 is ALONE (nearest PPM star at 362.5 arcsec).
192) Warning: WB 5h 1117 is ALONE (nearest PPM star at 198.2 arcsec).
193) Warning: WB 5h 1165 is ALONE (nearest PPM star at 157.9 arcsec).
194) Warning: WB 5h 1293 is ALONE (nearest PPM star at 1033.1 arcsec).
195) Warning: WB 5h 1294 is ALONE (nearest PPM star at 1036.3 arcsec).
196) Warning: WB 5h 1302 is ALONE (nearest PPM star at 238.9 arcsec).
197) Warning: WB 5h 1322 is ALONE (nearest PPM star at 200.0 arcsec).
198) Warning: WB 5h 1360 is ALONE (nearest PPM star at 142.8 arcsec).
199) Warning: WB 5h 1431 is ALONE (nearest PPM star at 61.1 arcsec).
200) Warning: WB 5h 1523 is ALONE (nearest PPM star at 289.6 arcsec).
201) Warning: WB 5h 1534 is ALONE (nearest PPM star at 60.6 arcsec).
202) Warning: WB 5h 1560 is ALONE (nearest PPM star at 149.9 arcsec).
203) Warning: WB 5h 1587 is ALONE (nearest PPM star at 117.7 arcsec).
204) Warning: WB 6h 139 is ALONE (nearest PPM star at 96.1 arcsec).
205) Warning: WB 6h 142 is ALONE (nearest PPM star at 388.5 arcsec).
206) Warning: WB 6h 184 is ALONE (nearest PPM star at 114.9 arcsec).
207) Warning: WB 6h 275 is ALONE (nearest PPM star at 660.1 arcsec).
208) Warning: WB 6h 314 is ALONE (nearest PPM star at 153.9 arcsec).
209) Warning: WB 6h 325 is ALONE (nearest PPM star at 211.5 arcsec).
210) Warning: WB 6h 353 is ALONE (nearest PPM star at 64.2 arcsec).
211) Warning: WB 6h 362 is ALONE (nearest PPM star at 289.3 arcsec).
212) Warning: WB 6h 370 is ALONE (nearest PPM star at 216.2 arcsec).
213) Warning: WB 6h 377 is ALONE (nearest PPM star at 633.4 arcsec).
214) Warning: WB 6h 382 is ALONE (nearest PPM star at 222.3 arcsec).
215) Warning: WB 6h 436 is ALONE (nearest PPM star at 62.4 arcsec).
216) Warning: WB 6h 437 is ALONE (nearest PPM star at 457.9 arcsec).
217) Warning: WB 6h 531 is ALONE (nearest PPM star at 152.5 arcsec).
218) Warning: WB 6h 535 is ALONE (nearest PPM star at 138.9 arcsec).
219) Warning: WB 6h 780 is ALONE (nearest PPM star at 298.4 arcsec).
220) Warning: WB 6h 827 is ALONE (nearest PPM star at 403.4 arcsec).
221) Warning: WB 6h 1014 is ALONE (nearest PPM star at 680.5 arcsec).
222) Warning: WB 6h 1103 is ALONE (nearest PPM star at 146.8 arcsec).
223) Warning: WB 6h 1146 is ALONE (nearest PPM star at 187.4 arcsec).
224) Warning: WB 6h 1236 is ALONE (nearest PPM star at 219.8 arcsec).
225) Warning: WB 6h 1254 is ALONE (nearest PPM star at 370.0 arcsec).
226) Warning: WB 6h 1255 is ALONE (nearest PPM star at 379.9 arcsec).
227) Warning: WB 6h 1263 is ALONE (nearest PPM star at 122.1 arcsec).
228) Warning: WB 6h 1329 is ALONE (nearest PPM star at 289.1 arcsec).
229) Warning: WB 6h 1444 is ALONE (nearest PPM star at 118.5 arcsec).
230) Warning: WB 6h 1448 is ALONE (nearest PPM star at 151.3 arcsec).
231) Warning: WB 6h 1567 is ALONE (nearest PPM star at 323.8 arcsec).
232) Warning: WB 6h 1715 is ALONE (nearest PPM star at 218.2 arcsec).
233) Warning: WB 6h 1737 is ALONE (nearest PPM star at 178.1 arcsec).
234) Warning: WB 6h 1881 is ALONE (nearest PPM star at 418.9 arcsec).
235) Warning: WB 6h 1909 is ALONE (nearest PPM star at 149.7 arcsec).
236) Warning: WB 6h 1911 is ALONE (nearest PPM star at 218.9 arcsec).
237) Warning: WB 7h 22 is ALONE (nearest PPM star at 403.8 arcsec).
238) Warning: WB 7h 37 is ALONE (nearest PPM star at 114.4 arcsec).
239) Warning: WB 7h 62 is ALONE (nearest PPM star at 202.2 arcsec).
240) Warning: WB 7h 66 is ALONE (nearest PPM star at 184.8 arcsec).
241) Warning: WB 7h 67 is ALONE (nearest PPM star at 1495.0 arcsec).
242) Warning: WB 7h 101 is ALONE (nearest PPM star at 249.9 arcsec).
243) Warning: WB 7h 142 is ALONE (nearest PPM star at 174.0 arcsec).
244) Warning: WB 7h 145 is ALONE (nearest PPM star at 359.3 arcsec).
245) Warning: WB 7h 161 is ALONE (nearest PPM star at 865.3 arcsec).
246) Warning: WB 7h 176 is ALONE (nearest PPM star at 745.1 arcsec).
247) Warning: WB 7h 187 is ALONE (nearest PPM star at 130.7 arcsec).
248) Warning: WB 7h 284 is ALONE (nearest PPM star at 215.1 arcsec).
249) Warning: WB 7h 291 is ALONE (nearest PPM star at 183.5 arcsec).
