index1,index2,dist
51G CMa,CD -22°3246,12.00
55G CMa,CD -22°3272,1.39
59G CMa,CD -32°3216,43.87
60G CMa,CD -23°4144,19.27
62G CMa,CD -23°4172,11.34
63G CMa,CD -30°3386,10.87
65G CMa,CD -22°3403,13.86
10 CMa,CD -30°3484,37.44
68G CMa,CD -27°3248,0.00
69G CMa,CD -23°4325,7.29
70G CMa,CD -30°3495,21.43
72G CMa,CD -31°3640,7.66
74G CMa,CD -30°3505,11.59
78G CMa,CD -23°4438,8.13
80G CMa,CD -27°3310,30.12
kappa CMa,CD -32°3404,15.17
82G CMa,CD -25°3691,24.93
83G CMa,CD -31°3717,18.05
86G CMa,CD -26°3529,6.57
88G CMa,CD -24°4553,18.00
90G CMa,CD -28°3554,13.69
91G CMa,CD -24°4565,44.17
omicron1CMa,CD -24°4567,30.00
93G CMa,CD -31°3781,12.07
97G CMa,CD -22°3720,12.00
99G CMa,CD -31°3808,19.10
101G CMa,CD -22°3758,21.16
102G CMa,CD -24°4648,24.35
103G CMa,CD -27°3460,8.02
104G CMa,CD -26°3646,16.07
105G CMa,CD -25°3864,9.50
epsilon CMa,CD -28°3666,36.22
108G CMa,CD -30°3757,11.92
109G CMa,CD -30°3775,18.05
110G CMa,CD -32°3545,18.18
113G CMa,CD -25°3911,18.05
sigma CMa,CD -27°3544,32.81
omicron2CMa,CD -23°4797,13.74
120G CMa,CD -30°3907,22.16
121G CMa,CD -24°4868,13.18
122G CMa,CD -23°4908,13.83
delta CMa,CD -26°3916,18.00
124G CMa,CD -23°4949,6.15
126G CMa,CD -25°4120,6.59
128G CMa,CD -27°3710,1.33
26 CMa,CD -25°4191,12.16
133G CMa,CD -30°4081,18.18
134G CMa,CD -22°4195,6.16
135G CMa,CD -22°4204,21.89
136G CMa,CD -27°3789,4.00
137G CMa,CD -30°4143,6.14
138G CMa,CD -30°4146,12.62
27 CMa,CD -26°4057,9.02
omega CMa,CD -26°4073,12.30
141G CMa,CD -26°4074,24.04
142G CMa,CD -30°4184,21.43
143G CMa,CD -23°5173,12.00
145G CMa,CD -23°5189,7.29
146G CMa,CD -23°5192,24.97
147G CMa,CD -27°3852,27.43
148G CMa,CD -30°4234,16.70
149G CMa,CD -26°4140,18.78
29 CMa,CD -24°5173,12.68
tau CMa,CD -24°5176,44.59
154G CMa,CD -26°4164,24.92
157G CMa,CD -22°4383,12.00
158G CMa,CD -26°4223,6.57
159G CMa,CD -25°4400,14.49
161G CMa,CD -31°4437,12.00
162G CMa,CD -27°4020,7.98
163G CMa,CD -31°4454,28.45
164G CMa,CD -22°4462,30.03
166G CMa,CD -29°4322,14.31
eta CMa,CD -29°4328,27.64
171G CMa,CD -31°4482,29.94
173G CMa,CD -24°5366,25.82
174G CMa,CD -31°4506,7.12
175G CMa,CD -23°5477,13.76
177G CMa,CD -22°4526,18.31
5G Cap,CD -27°14659,37.77
4 Cap,CD -22°14603,24.00
18G Cap,CD -26°15036,42.77
19G Cap,CD -24°16058,42.00
24G Cap,CD -22°14746,24.16
28G Cap,CD -25°14854,14.50
35G Cap,CD -25°14920,11.21
36G Cap,CD -24°16161,12.68
40G Cap,CD -24°16193,43.08
42G Cap,CD -27°14959,42.02
44G Cap,CD -26°15192,19.72
45G Cap,CD -27°15014,36.39
psi Cap,CD -25°15018,30.75
49G Cap,CD -27°15025,12.29
52G Cap,CD -26°15282,12.08
54G Cap,CD -25°15067,18.05
55G Cap,CD -27°15080,30.47
omega Cap,CD -27°15082,8.02
58G Cap,CD -24°16328,19.78
63G Cap,CD -26°15344,8.99
67G Cap,CD -27°15197,1.33
72G Cap,CD -23°16700,9.62
