index1,index2,dist
G 301,PPM 366983,2.60
G 302,PPM 366985,1.93
G 303,PPM 351933,2.52
G 304,PPM 375950,1.93
G 305,PPM 351931,1.44
G 306,PPM 351935,2.50
G 307,PPM 366989,1.33
G 308,PPM 375958,2.12
G 309,PPM 375955,0.52
G 310,PPM 366984,2.33
G 311,PPM 366987,0.52
G 312,PPM 351946,5.52
G 313,PPM 351942,0.98
G 314,PPM 351944,0.74
G 315,PPM 351949,3.54
G 316,PPM 366992,0.38
G 317,PPM 366996,2.46
G 318,PPM 783712,2.61
G 319,PPM 351950,1.09
G 320,PPM 366991,1.83
G 321,PPM 366988,3.56
G 322,PPM 367000,2.29
G 323,PPM 366999,0.99
G 324,PPM 375959,0.89
G 325,PPM 351953,4.07
G 326,PPM 367001,0.69
G 327,PPM 367005,1.37
G 328,PPM 367005,1.96
G 329,PPM 351956,5.23
G 330,PPM 367003,4.59
G 331,PPM 351956,2.22
G 332,PPM 351959,1.52
G 333,PPM 788429,2.50
G 334,PPM 375952,4.40
G 335,PPM 351958,0.84
G 336,PPM 351960,1.13
G 337,PPM 367008,2.68
G 338,PPM 375960,0.62
G 339,PPM 367004,0.97
G 340,PPM 367009,2.29
G 341,PPM 375965,2.00
G 342,PPM 788426,4.63
G 343,PPM 367006,0.82
G 344,PPM 367011,2.17
G 345,PPM 375961,1.51
G 346,PPM 351967,2.58
G 347,PPM 783714,2.00
G 348,PPM 367010,4.82
G 349,PPM 351966,2.17
G 350,PPM 351965,4.62
G 351,PPM 375964,0.57
G 351,PPM 375964,28.92
G 352,PPM 775152,0.28
G 353,PPM 351969,2.19
G 354,PPM 367014,1.94
G 355,PPM 351968,3.34
G 356,PPM 367015,4.34
G 359,PPM 375971,0.78
G 360,PPM 367016,2.00
G 361,PPM 367019,0.29
G 362,PPM 351980,1.11
G 363,PPM 775155,0.51
G 364,PPM 351979,2.15
G 365,PPM 351981,4.53
G 366,PPM 783715,1.17
G 367,PPM 375956,5.04
G 368,PPM 775156,2.90
G 369,PPM 351983,2.11
G 370,PPM 375968,1.14
G 371,PPM 375963,0.41
G 372,PPM 375966,0.75
G 373,PPM 367021,1.28
G 374,PPM 375969,1.83
G 375,PPM 351989,2.89
G 376,PPM 775161,2.52
G 377,PPM 367022,1.77
G 378,PPM 367020,3.15
G 379,PPM 351990,1.31
G 380,PPM 351998,2.04
G 381,PPM 367024,2.49
G 382,PPM 375957,1.95
G 384,PPM 351999,1.18
G 385,PPM 352003,5.58
G 386,PPM 367026,2.40
G 387,PPM 367027,2.91
G 388,PPM 367032,1.37
G 389,PPM 367028,0.55
G 390,PPM 367030,21.32
G 391,PPM 788432,4.71
G 392,PPM 375967,1.35
G 394,PPM 375974,2.83
G 395,PPM 367035,2.50
G 396,PPM 352014,0.76
G 397,PPM 352012,0.39
G 398,PPM 367033,2.42
G 399,PPM 375970,0.41
G 400,PPM 788421,3.70
G 401,PPM 367043,2.68
G 402,PPM 367042,1.61
G 403,PPM 367039,4.45
G 404,PPM 375972,1.21
G 405,PPM 375975,1.92
G 406,PPM 367047,3.36
G 407,PPM 367040,1.35
G 408,PPM 352023,2.50
G 409,PPM 367046,7.26
G 410,PPM 367050,1.45
G 411,PPM 367052,1.35
G 412,PPM 367037,4.61
G 413,PPM 367038,3.90
G 414,PPM 352025,1.39
G 415,PPM 367048,0.74
G 416,PPM 367044,1.38
G 417,PPM 352028,0.18
G 418,PPM 367055,5.66
G 419,PPM 367051,2.29
G 420,PPM 367056,2.78
G 421,PPM 352029,0.41
G 422,PPM 352031,3.65
G 423,PPM 375978,4.47
G 424,PPM 352032,1.58
G 425,PPM 352034,2.63
G 426,PPM 352030,1.29
G 427,PPM 352039,2.20
G 428,PPM 352043,2.56
G 429,PPM 352044,3.50
G 430,PPM 352041,2.23
G 431,PPM 367064,2.56
G 433,PPM 367060,1.45
G 434,PPM 367061,2.51
G 435,PPM 367067,0.82
G 436,PPM 367070,2.14
G 437,PPM 367069,1.06
G 438,PPM 352051,1.68
G 439,PPM 367068,1.82
G 440,PPM 367065,0.47
G 441,PPM 367072,1.34
G 442,PPM 375984,0.97
G 443,PPM 367073,0.58
G 444,PPM 367074,2.26
G 446,PPM 375980,0.83
G 447,PPM 375982,1.85
G 448,PPM 775178,0.83
G 449,PPM 367081,2.35
G 450,PPM 367079,2.45
G 451,PPM 367071,1.10
G 452,PPM 352061,1.62
G 453,PPM 375981,0.78
G 454,PPM 375983,0.85
G 455,PPM 375977,2.19
G 456,PPM 352062,1.72
G 457,PPM 367086,1.94
G 458,PPM 352063,0.92
G 459,PPM 352069,0.97
G 460,PPM 367082,0.18
G 461,PPM 367085,1.65
G 462,PPM 367076,2.26
G 463,PPM 367078,1.97
G 464,PPM 375976,0.63
G 465,PPM 352080,1.19
G 466,PPM 367089,0.56
G 467,PPM 352081,0.80
G 468,PPM 367090,1.25
G 469,PPM 367096,0.95
G 470,PPM 352084,1.19
G 471,PPM 352083,1.16
G 472,PPM 367099,1.25
G 473,PPM 352086,2.79
G 474,PPM 367092,1.88
G 475,PPM 352088,14.69
G 476,PPM 352088,0.80
G 477,PPM 375995,1.69
G 478,PPM 367095,1.20
G 479,PPM 375991,0.93
G 480,PPM 367091,3.95
G 481,PPM 375990,2.81
G 482,PPM 775185,1.21
G 483,PPM 775186,1.30
G 484,PPM 375993,4.60
G 485,PPM 375989,3.15
G 486,PPM 352090,1.31
G 488,PPM 352092,2.22
G 489,PPM 375992,1.03
G 490,PPM 352096,3.16
G 491,PPM 367102,1.71
G 492,PPM 367098,1.87
G 493,PPM 367093,2.82
G 495,PPM 375985,2.24
G 496,PPM 367105,1.82
G 497,PPM 352097,1.94
G 498,PPM 352103,1.75
G 499,PPM 375998,1.30
G 500,PPM 367106,1.97
G 501,PPM 367107,0.65
G 502,PPM 375987,1.35
G 503,PPM 375988,0.56
G 504,PPM 375999,2.42
G 505,PPM 352111,1.67
G 506,PPM 352108,0.88
G 507,PPM 352112,5.21
G 508,PPM 352107,2.62
G 509,PPM 367112,1.20
G 510,PPM 367111,2.55
G 511,PPM 367109,1.02
G 512,PPM 352118,1.28
G 513,PPM 352117,2.59
G 514,PPM 367108,1.22
G 515,PPM 352119,1.43
G 517,PPM 367097,2.16
G 518,PPM 367115,1.15
G 520,PPM 367113,0.98
G 521,PPM 376003,2.57
G 522,PPM 376000,1.31
G 523,PPM 367114,0.94
G 524,PPM 352128,3.04
G 525,PPM 376001,0.25
G 526,PPM 352135,0.46
G 527,PPM 352130,1.93
G 528,PPM 367118,2.23
G 529,PPM 376005,2.48
G 530,PPM 376004,4.35
G 531,PPM 367123,0.74
G 532,PPM 367125,2.76
G 533,PPM 352143,1.34
G 534,PPM 788439,2.23
G 535,PPM 367117,0.73
G 536,PPM 367121,2.24
G 537,PPM 352148,2.40
G 538,PPM 367122,1.31
G 539,PPM 367130,0.89
G 540,PPM 783729,1.99
G 541,PPM 352153,2.10
G 542,PPM 367129,1.48
G 543,PPM 367126,0.61
G 544,PPM 367120,2.31
G 545,PPM 783730,0.52
G 546,PPM 352164,2.12
G 547,PPM 783731,1.62
G 548,PPM 352165,3.08
G 549,PPM 775201,1.30
G 551,PPM 367133,1.60
G 552,PPM 367128,0.61
G 553,PPM 367131,1.49
G 554,PPM 352172,0.76
G 555,PPM 376002,1.75
G 556,PPM 367132,2.61
G 557,PPM 367116,2.09
G 558,PPM 352177,2.64
G 559,PPM 352182,2.42
G 560,PPM 367136,3.20
G 561,PPM 367142,1.52
G 562,PPM 367144,0.52
G 563,PPM 367135,1.09
G 564,PPM 352187,1.48
G 565,PPM 367143,1.51
G 566,PPM 352185,3.73
G 567,PPM 352191,2.18
G 568,PPM 367140,2.71
G 569,PPM 375996,3.52
G 570,PPM 376007,3.44
G 571,PPM 367147,0.53
G 572,PPM 367152,0.52
G 573,PPM 367149,0.59
G 574,PPM 376006,0.66
G 575,PPM 367150,2.06
G 576,PPM 352199,2.36
G 577,PPM 352201,0.12
G 578,PPM 367158,0.27
G 579,PPM 367160,1.27
G 580,PPM 367146,2.21
G 581,PPM 367159,0.32
G 582,PPM 352206,1.06
G 583,PPM 352212,1.62
G 584,PPM 352207,2.35
G 585,PPM 783736,2.68
G 586,PPM 367154,0.91
G 587,PPM 352216,2.93
G 588,PPM 367155,1.48
G 589,PPM 367164,1.36
G 590,PPM 775214,1.21
G 591,PPM 775216,2.81
G 592,PPM 376008,1.27
G 593,PPM 367161,1.18
G 595,PPM 376010,2.58
G 596,PPM 367166,1.20
G 597,PPM 367168,4.81
G 598,PPM 376015,2.51
G 599,PPM 367173,3.44
G 600,PPM 367171,1.30
G 601,PPM 376014,4.55
G 602,PPM 367177,3.69
G 602,PPM 367177,5.26
G 603,PPM 376018,2.58
G 604,PPM 367162,0.96
G 605,PPM 367175,1.42
G 606,PPM 367178,0.68
