index1,index2,dist
USNO 366,PPM 182606,1.29
USNO 367,PPM 209230,3.51
USNO 368,PPM 276315,1.56
USNO 369,PPM 243179,3.75
USNO 370,PPM 143841,1.71
USNO 371,PPM 243183,1.14
USNO 372,PPM 143847,3.48
USNO 373,PPM 143849,4.57
USNO 374,PPM 276330,1.05
USNO 375,PPM 143855,3.39
USNO 376,PPM 143857,1.06
USNO 377,PPM 209250,1.94
USNO 378,PPM 4503,1.14
USNO 379,PPM 174786,2.81
USNO 380,PPM 174787,4.07
USNO 381,PPM 143865,1.68
USNO 382,PPM 182635,2.88
USNO 383,PPM 243215,2.91
USNO 384,PPM 174789,3.40
USNO 385,PPM 116762,4.70
USNO 386,PPM 182647,1.85
USNO 387,PPM 143877,2.61
USNO 388,PPM 143883,1.97
USNO 389,PPM 116764,1.55
USNO 390,PPM 276362,0.60
USNO 391,PPM 90149,1.22
USNO 392,PPM 174791,1.29
USNO 393,PPM 143892,0.89
USNO 394,PPM 143895,3.31
USNO 395,PPM 90164,1.90
USNO 396,PPM 65637,1.38
USNO 397,PPM 143897,2.80
USNO 398,PPM 25718,10.61
USNO 399,PPM 209307,1.95
USNO 400,PPM 276377,5.47
USNO 401,PPM 276380,0.55
USNO 402,PPM 25711,1.06
USNO 403,PPM 143904,1.43
USNO 404,PPM 143903,1.84
USNO 405,PPM 143910,2.24
USNO 406,PPM 243252,0.43
USNO 407,PPM 243250,0.43
USNO 408,PPM 4520,1.72
USNO 409,PPM 143909,1.22
USNO 410,PPM 174795,1.45
USNO 411,PPM 43350,1.38
USNO 412,PPM 143916,0.86
USNO 413,PPM 209324,1.08
USNO 414,PPM 43354,2.24
USNO 415,PPM 90178,1.11
USNO 416,PPM 243261,1.78
USNO 417,PPM 243264,0.31
USNO 418,PPM 143929,1.89
USNO 419,PPM 161,2.34
USNO 420,PPM 43365,1.11
USNO 421,PPM 143932,1.21
USNO 422,PPM 143937,1.98
USNO 423,PPM 243277,1.07
USNO 424,PPM 143935,0.97
USNO 425,PPM 90187,1.17
USNO 426,PPM 90187,3.31
USNO 427,PPM 209342,0.98
USNO 428,PPM 243283,2.60
USNO 429,PPM 243280,0.71
USNO 430,PPM 143943,2.09
USNO 431,PPM 116804,2.67
