index1,index2,dist
GC 298,CPD -33°39,0.77
GC 299,CPD -51°44,1.86
GC 300,CPD -30°37,11.84
GC 301,CPD -65°20,3.70
GC 302,CPD -33°40,2.75
GC 303,CPD -54°83,0.89
GC 305,CPD -54°85,3.26
GC 306,CPD -50°46,4.19
GC 307,CPD -55°74,4.73
GC 309,CPD -63°35,4.07
GC 310,CPD -38°29,9.59
GC 311,CPD -24°29,4.49
GC 312,CPD -77°15,3.67
GC 313,CPD -29°35,7.56
GC 314,CPD -27°25,3.69
GC 315,CPD -36°34,6.29
GC 317,CPD -55°81,3.82
GC 318,CPD -27°26,2.75
GC 319,CPD -72°34,5.72
GC 320,CPD -24°30,9.21
GC 323,CPD -24°31,6.74
GC 324,CPD -51°48,0.82
GC 326,CPD -24°32,1.01
GC 327,CPD -54°91,14.75
GC 328,CPD -72°37,4.30
GC 329,CPD -78°10,7.18
GC 330,CPD -42°32,5.18
GC 331,CPD -31°45,6.80
GC 332,CPD -62°31,6.20
GC 334,CPD -35°44,5.42
GC 335,CPD -64°27,6.43
GC 337,CPD -39°17,9.36
GC 338,CPD -25°38,4.60
GC 339,CPD -65°24,3.22
GC 340,CPD -22°34,5.44
GC 341,CPD -28°29,5.07
GC 342,CPD -73°24,1.10
GC 344,CPD -52°38,2.48
GC 345,CPD -65°26,4.02
GC 346,CPD -31°48,11.12
GC 347,CPD -28°30,3.53
GC 348,CPD -64°30,1.42
GC 349,CPD -65°28,5.97
GC 350,CPD -22°37,7.68
GC 351,CPD -44°47,13.01
GC 352,CPD -19°35,7.77
GC 353,CPD -56°79,4.76
GC 354,CPD -40°29,19.65
GC 355,CPD -42°34,11.63
GC 357,CPD -23°29,12.61
GC 358,CPD -29°40,6.53
GC 359,CPD -59°37,4.54
GC 360,CPD -50°53,4.12
GC 361,CPD -59°38,15.23
GC 363,CPD -26°31,4.63
GC 364,CPD -31°50,7.24
GC 365,CPD -59°39,11.19
GC 366,CPD -70°15,17.34
GC 367,CPD -34°31,9.60
GC 368,CPD -28°32,11.16
GC 369,CPD -32°44,7.70
GC 370,CPD -20°29,8.33
GC 372,CPD -59°41,2.84
GC 373,CPD -25°40,9.43
GC 374,CPD -25°41,12.26
GC 376,CPD -28°33,8.88
GC 377,CPD -33°48,7.73
GC 378,CPD -60°36,5.88
GC 379,CPD -25°42,5.83
GC 380,CPD -50°56,5.20
GC 381,CPD -29°42,6.75
GC 382,CPD -53°88,2.79
GC 383,CPD -21°30,11.78
GC 384,CPD -23°36,5.34
GC 385,CPD -72°41,5.57
GC 387,CPD -29°43,5.81
GC 388,CPD -55°94,7.44
GC 389,CPD -51°60,4.33
GC 390,CPD -40°35,3.45
GC 391,CPD -66°29,3.22
GC 392,CPD -34°34,7.46
GC 393,CPD -72°42,3.25
GC 394,CPD -33°49,6.87
GC 395,CPD -66°31,2.06
GC 396,CPD -25°43,9.98
GC 397,CPD -66°32,2.37
GC 398,CPD -51°63,4.01
GC 399,CPD -55°99,4.63
GC 401,CPD -27°30,2.28
GC 403,CPD -83°6,2.19
GC 405,CPD -51°66,7.03
GC 407,CPD -56°83,4.80
GC 408,CPD -38°35,8.05
GC 410,CPD -41°47,7.96
GC 411,CPD -33°52,7.04
GC 414,CPD -32°50,7.72
GC 416,CPD -32°51,5.63
GC 417,CPD -51°69,2.91
GC 418,CPD -41°48,7.96
GC 419,CPD -24°39,10.90
GC 420,CPD -60°38,3.69
GC 421,CPD -33°53,8.55
GC 422,CPD -47°47,0.42
GC 423,CPD -48°44,4.35
GC 424,CPD -40°41,5.00
GC 425,CPD -41°49,9.93
GC 426,CPD -55°106,7.61
GC 427,CPD -48°45,7.63
GC 428,CPD -29°49,2.23
GC 429,CPD -28°35,6.21
GC 430,CPD -47°48,8.46
GC 432,CPD -55°107,1.75
GC 435,CPD -44°58,2.17
GC 436,CPD -43°50,1.20
GC 437,CPD -52°52,3.22
GC 438,CPD -49°62,13.03
GC 439,CPD -44°59,1.63
GC 440,CPD -25°46,1.77
GC 442,CPD -46°51,2.56
GC 443,CPD -49°63,10.91
GC 444,CPD -36°49,7.55
GC 445,CPD -56°92,6.40
GC 446,CPD -55°108,10.88
GC 447,CPD -31°62,8.43
GC 448,CPD -28°36,9.59
GC 449,CPD -53°105,7.42
GC 451,CPD -63°50,7.88
GC 453,CPD -72°45,1.34
GC 454,CPD -25°48,6.16
GC 455,CPD -77°25,1.55
GC 456,CPD -32°54,10.23
GC 457,CPD -29°51,8.01
GC 458,CPD -52°56,2.22
GC 459,CPD -28°37,10.14
GC 460,CPD -63°51,10.84
GC 461,CPD -26°37,8.76
GC 462,CPD -40°47,4.08
GC 463,CPD -34°43,4.21
GC 465,CPD -37°48,5.36
GC 466,CPD -29°54,8.40
GC 467,CPD -63°52,5.43
GC 469,CPD -47°56,4.98
GC 470,CPD -22°45,4.30
GC 471,CPD -37°50,2.61
GC 472,CPD -26°39,3.93
GC 474,CPD -38°42,5.58
GC 475,CPD -24°49,1.05
GC 476,CPD -30°60,2.20
GC 477,CPD -39°30,3.31
GC 478,CPD -35°60,8.05
GC 479,CPD -59°45,5.62
GC 480,CPD -56°103,7.13
GC 482,CPD -40°51,9.93
GC 483,CPD -34°45,6.32
GC 484,CPD -64°49,6.39
GC 485,CPD -39°31,9.88
GC 486,CPD -61°29,3.00
GC 487,CPD -31°65,5.57
GC 488,CPD -32°56,5.03
GC 489,CPD -76°58,1.84
GC 490,CPD -44°66,3.65
GC 491,CPD -71°20,3.06
GC 495,CPD -57°115,6.19
GC 496,CPD -43°56,6.24
GC 497,CPD -58°30,5.78
GC 498,CPD -27°36,6.98
GC 499,CPD -29°57,9.63
GC 500,CPD -46°53,5.50
GC 501,CPD -53°117,2.75
GC 502,CPD -38°43,6.32
GC 503,CPD -63°56,3.31
GC 504,CPD -24°52,11.63
GC 506,CPD -27°37,7.92
GC 507,CPD -26°41,1.30
GC 509,CPD -64°51,5.28
GC 510,CPD -25°55,0.90
GC 511,CPD -56°109,2.41
GC 512,CPD -26°42,8.70
GC 513,CPD -54°136,3.30
GC 514,CPD -54°136,5.43
GC 515,CPD -48°50,7.56
GC 516,CPD -40°54,4.40
GC 518,CPD -55°117,10.10
GC 519,CPD -48°51,8.02
GC 521,CPD -25°59,7.74
GC 522,CPD -41°57,7.62
GC 523,CPD -32°59,8.91
GC 524,CPD -23°55,4.09
GC 525,CPD -27°40,8.89
GC 526,CPD -49°77,5.30
GC 527,CPD -34°49,6.69
GC 528,CPD -62°51,13.89
GC 529,CPD -48°54,0.41
GC 530,CPD -41°59,4.88
GC 531,CPD -38°46,8.21
GC 532,CPD -60°42,8.26
GC 533,CPD -27°42,13.97
GC 534,CPD -72°51,1.57
GC 535,CPD -28°43,2.87
GC 536,CPD -25°62,3.43
GC 539,CPD -49°79,8.79
GC 540,CPD -25°63,7.05
GC 541,CPD -58°33,13.63
GC 542,CPD -73°39,2.57
GC 543,CPD -74°48,0.45
GC 545,CPD -75°55,3.44
GC 546,CPD -65°58,5.56
GC 547,CPD -73°40,2.01
GC 548,CPD -42°58,6.49
GC 549,CPD -20°49,5.33
GC 550,CPD -37°57,5.49
GC 551,CPD -36°63,12.85
GC 552,CPD -26°45,10.96
GC 553,CPD -70°29,7.14
GC 554,CPD -26°46,4.02
GC 555,CPD -55°130,6.26
GC 557,CPD -28°44,3.30
GC 559,CPD -54°144,3.01
GC 560,CPD -23°62,5.76
GC 561,CPD -56°121,7.41
GC 562,CPD -28°45,3.13
GC 563,CPD -42°60,7.67
GC 564,CPD -76°67,2.50
GC 565,CPD -51°91,5.38
GC 566,CPD -25°66,10.40
GC 567,CPD -32°63,5.12
GC 568,CPD -20°59,2.17
GC 569,CPD -44°75,2.12
GC 570,CPD -24°56,3.91
GC 571,CPD -46°60,2.22
GC 572,CPD -25°67,6.89
GC 573,CPD -41°68,6.84
GC 574,CPD -26°50,5.48
