index1,index2,dist
W 563,CD -29°374,7.90
W 564,CD -29°376,55.00
W 567,CD -27°393,52.53
W 573,CD -24°538,32.16
W 577,CD -24°540,6.82
W 578,CD -29°386,9.32
W 579,CD -23°457,1.62
W 581,CD -23°458,24.70
W 585,CD -23°461,21.41
W 586,CD -22°437,28.00
W 587,CD -23°462,8.22
W 588,CD -30°400,12.55
W 589,CD -28°383,16.75
W 590,CD -24°546,10.33
W 591,CD -24°548,2.19
W 592,CD -23°468,19.67
W 594,CD -22°443,12.92
W 598,CD -26°417,6.63
W 599,CD -22°445,28.41
W 601,CD -23°473,47.04
W 605,CD -30°415,34.71
W 610,CD -28°394,9.66
W 612,CD -24°562,14.84
W 613,CD -27°426,70.39
W 614,CD -24°563,45.96
W 615,CD -24°564,12.31
W 617,CD -23°477,14.05
W 619,CD -23°478,16.07
W 620,CD -29°411,32.01
W 622,CD -26°424,13.54
W 623,CD -27°430,44.63
W 624,CD -23°483,13.29
W 625,CD -25°524,4.93
W 628,CD -29°418,26.04
W 629,CD -28°407,13.57
W 633,CD -24°578,9.65
W 637,CD -29°422,10.30
W 638,CD -30°434,8.57
W 639,CD -30°435,41.96
W 640,CD -25°531,8.62
W 645,CD -29°428,29.98
W 646,CD -22°469,14.89
W 647,CD -24°588,18.05
W 648,CD -27°451,26.08
W 649,CD -23°502,17.55
W 650,CD -27°453,14.61
W 651,CD -22°472,9.02
W 654,CD -22°477,19.49
W 656,CD -29°438,68.66
W 659,CD -23°507,5.65
W 667,CD -25°555,24.89
W 668,CD -26°459,12.01
W 669,CD -24°599,2.71
W 671,CD -23°515,26.37
W 672,CD -22°484,5.34
W 675,CD -28°431,6.86
W 676,CD -29°447,71.60
W 678,CD -29°448,25.20
W 679,CD -28°433,23.08
W 683,CD -24°608,27.20
W 685,CD -25°569,16.05
W 687,CD -29°454,31.00
W 688,CD -27°478,15.88
W 690,CD -29°459,35.45
W 691,CD -23°520,20.70
W 694,CD -30°475,40.95
W 696,CD -23°523,3.14
W 698,CD -30°478,14.76
W 700,CD -30°479,27.38
W 701,CD -22°503,14.96
W 703,CD -24°624,30.70
W 705,CD -29°464,12.69
W 706,CD -22°507,4.62
W 709,CD -22°508,13.74
W 710,CD -22°509,9.05
W 711,CD -27°495,16.53
W 714,CD -24°633,27.29
W 715,CD -25°597,5.73
W 716,CD -30°490,15.67
W 721,CD -22°516,6.04
W 722,CD -26°491,24.78
W 724,CD -30°497,41.07
W 726,CD -23°539,15.82
W 727,CD -27°508,39.12
W 730,CD -29°477,39.64
W 731,CD -26°502,5.72
W 732,CD -23°543,38.60
W 733,CD -26°503,50.07
W 734,CD -29°478,2.02
W 737,CD -23°546,6.18
W 739,CD -22°523,36.74
W 742,CD -28°471,10.77
W 743,CD -30°504,5.82
W 744,CD -23°549,44.56
W 746,CD -26°518,6.81
W 747,CD -30°506,3.56
W 749,CD -28°475,25.38
W 751,CD -24°651,7.34
W 753,CD -27°519,46.38
W 755,CD -27°522,10.98
W 756,CD -30°509,50.09
W 757,CD -23°556,32.89
W 760,CD -22°530,21.14
W 761,CD -24°658,13.32
W 762,CD -29°499,10.23
W 763,CD -26°527,1.99
W 765,CD -30°513,14.13
W 770,CD -23°567,3.16
W 771,CD -30°519,14.52
W 773,CD -28°489,6.11
W 774,CD -28°490,13.98
W 776,CD -23°574,20.14
W 778,CD -23°577,60.18
W 779,CD -30°529,6.72
W 781,CD -30°530,10.59
W 783,CD -25°651,16.53
W 789,CD -23°589,29.52
W 790,CD -30°540,17.38
W 791,CD -30°541,41.84
W 794,CD -23°591,43.59
W 796,CD -30°543,18.18
W 801,CD -25°660,5.52
W 803,CD -30°549,29.46
W 804,CD -24°685,23.09
W 805,CD -26°563,8.08
W 806,CD -24°687,32.29
W 807,CD -23°600,31.85
W 808,CD -27°551,23.60
W 812,CD -29°536,7.51
W 815,CD -25°670,12.44
W 816,CD -27°555,16.69
W 819,CD -25°672,3.56
W 822,CD -23°614,10.35
W 825,CD -29°542,11.32
W 828,CD -23°620,8.98
W 834,CD -23°623,5.65
W 837,CD -28°525,39.87
W 841,CD -22°566,7.90
W 845,CD -28°532,23.89
W 849,CD -23°630,15.83
W 851,CD -29°553,11.21
W 854,CD -22°574,9.49
W 855,CD -24°725,19.26
W 857,CD -23°636,7.93
W 859,CD -24°729,3.47
W 861,CD -30°591,15.14
W 862,CD -24°734,6.32
W 864,CD -24°735,9.89
W 871,CD -29°564,55.71
W 872,CD -29°566,35.72
W 873,CD -26°621,12.72
W 875,CD -22°587,21.74
W 876,CD -27°592,5.50
W 877,CD -22°588,23.55
W 878,CD -25°704,14.26
W 879,CD -26°622,23.12
W 883,CD -24°751,13.61
W 884,CD -28°555,10.86
W 888,CD -26°631,4.32
W 890,CD -23°658,38.47
W 891,CD -29°582,9.89
W 892,CD -29°583,11.68
W 893,CD -23°660,22.87
W 895,CD -29°584,20.65
W 896,CD -27°605,37.02
W 898,CD -22°601,29.58
W 899,CD -26°639,11.47
W 902,CD -22°602,10.16
W 905,CD -26°642,6.20
W 907,CD -29°589,15.54
W 909,CD -26°644,16.52
W 911,CD -26°645,13.18
W 912,CD -22°606,14.46
W 916,CD -29°599,12.83
W 918,CD -23°674,2.53
W 919,CD -29°601,17.06
W 920,CD -29°602,11.43
W 923,CD -23°678,10.96
W 924,CD -29°605,15.56
W 927,CD -25°733,25.92
W 930,CD -29°613,6.51
W 933,CD -22°620,15.27
W 934,CD -29°617,34.87
W 935,CD -29°618,1.59
W 937,CD -27°642,17.35
W 939,CD -25°741,25.17
W 940,CD -29°623,17.75
W 941,CD -23°693,44.89
W 946,CD -29°627,21.95
W 947,CD -26°675,21.32
W 949,CD -24°800,31.97
W 952,CD -23°697,19.92
W 956,CD -30°655,34.41
W 959,CD -26°688,13.65
