index1,index2,dist
21G Cae,CPD -38°528,8.40
22G Cae,CPD -39°536,8.06
23G Cae,CPD -32°658,5.06
24G Cae,CPD -37°598,3.59
25G Cae,CPD -39°565,6.11
26G Cae,CPD -31°684,7.11
27G Cae,CPD -41°621,1.12
gamma Cae,CPD -35°586,2.44
3G CMa,CPD -29°1162,7.17
4G CMa,CPD -29°1170,2.61
5G CMa,CPD -20°1223,5.63
10G CMa,CPD -22°1140,6.16
12G CMa,CPD -19°1170,1.42
13G CMa,CPD -19°1177,10.37
15G CMa,CPD -20°1256,13.97
16G CMa,CPD -22°1163,0.00
zeta CMa,CPD -30°1217,13.14
19G CMa,CPD -29°1229,13.04
24G CMa,CPD -19°1233,0.00
25G CMa,CPD -31°1112,6.13
27G CMa,CPD -29°1251,0.00
29G CMa,CPD -25°1417,10.83
30G CMa,CPD -28°1279,7.89
31G CMa,CPD -29°1271,15.55
33G CMa,CPD -25°1443,7.24
lambda CMa,CPD -32°1173,12.87
36G CMa,CPD -32°1176,18.74
37G CMa,CPD -22°1268,8.31
38G CMa,CPD -19°1301,7.35
42G CMa,CPD -27°1328,1.33
43G CMa,CPD -21°1344,8.20
xi1 CMa,CPD -23°1312,16.30
45G CMa,CPD -32°1197,8.83
47G CMa,CPD -31°1218,2.55
48G CMa,CPD -20°1434,2.80
xi2 CMa,CPD -22°1321,12.58
50G CMa,CPD -32°1227,2.53
51G CMa,CPD -22°1325,15.45
nu2 CMa,CPD -19°1369,8.50
55G CMa,CPD -22°1345,8.17
59G CMa,CPD -32°1260,11.79
60G CMa,CPD -23°1373,5.50
62G CMa,CPD -23°1390,8.25
63G CMa,CPD -30°1382,6.14
64G CMa,CPD -20°1507,9.25
65G CMa,CPD -22°1408,8.17
10 CMa,CPD -30°1404,8.80
68G CMa,CPD -27°1448,7.21
69G CMa,CPD -23°1464,6.16
70G CMa,CPD -30°1407,12.07
72G CMa,CPD -31°1319,13.59
74G CMa,CPD -30°1408,14.17
12 CMa,CPD -20°1651,12.72
78G CMa,CPD -23°1519,6.15
80G CMa,CPD -27°1487,7.21
kappa CMa,CPD -32°1311,2.53
82G CMa,CPD -25°1681,6.76
83G CMa,CPD -31°1334,6.39
86G CMa,CPD -26°1520,5.36
15 CMa,CPD -20°1730,6.63
88G CMa,CPD -24°1730,12.31
90G CMa,CPD -28°1525,7.19
91G CMa,CPD -24°1743,16.39
omicron1CMa,CPD -24°1745,8.22
93G CMa,CPD -31°1351,12.77
17 CMa,CPD -20°1756,2.81
pi CMa,CPD -19°1550,7.05
97G CMa,CPD -22°1574,10.24
99G CMa,CPD -31°1357,16.46
100G CMa,CPD -19°1573,7.35
101G CMa,CPD -22°1594,13.88
102G CMa,CPD -24°1798,18.74
103G CMa,CPD -27°1586,8.02
104G CMa,CPD -26°1583,11.11
105G CMa,CPD -25°1786,12.00
epsilon CMa,CPD -28°1586,9.20
107G CMa,CPD -21°1651,6.62
108G CMa,CPD -30°1484,6.53
109G CMa,CPD -30°1491,3.86
110G CMa,CPD -32°1344,5.06
111G CMa,CPD -19°1621,9.26
112G CMa,CPD -20°1844,16.58
113G CMa,CPD -25°1827,8.15
sigma CMa,CPD -27°1648,13.27
omicron2CMa,CPD -23°1747,6.60
117G CMa,CPD -21°1738,18.84
120G CMa,CPD -30°1526,15.51
121G CMa,CPD -24°1959,4.09
122G CMa,CPD -23°1827,6.60
delta CMa,CPD -26°1793,2.69
124G CMa,CPD -23°1858,7.28
126G CMa,CPD -25°2012,6.15
128G CMa,CPD -27°1762,1.33
130G CMa,CPD -20°2036,4.21
26 CMa,CPD -25°2067,14.78
133G CMa,CPD -30°1564,11.62
134G CMa,CPD -22°1885,1.39
135G CMa,CPD -22°1894,6.92
136G CMa,CPD -27°1816,6.15
137G CMa,CPD -30°1579,7.14
138G CMa,CPD -30°1581,6.54
27 CMa,CPD -26°1904,12.33
omega CMa,CPD -26°1914,9.39
141G CMa,CPD -26°1915,6.57
142G CMa,CPD -30°1588,10.86
143G CMa,CPD -23°1999,4.13
145G CMa,CPD -23°2012,7.29
146G CMa,CPD -23°2015,17.94
147G CMa,CPD -27°1863,13.38
148G CMa,CPD -30°1600,2.58
149G CMa,CPD -26°1962,6.71
29 CMa,CPD -24°2210,6.00
tau CMa,CPD -24°2216,6.81
152G CMa,CPD -19°2003,6.64
154G CMa,CPD -26°1973,6.72
157G CMa,CPD -22°2048,0.00
158G CMa,CPD -26°2013,4.02
159G CMa,CPD -25°2230,9.04
161G CMa,CPD -31°1513,6.38
162G CMa,CPD -27°1993,0.00
163G CMa,CPD -31°1520,7.11
164G CMa,CPD -22°2119,4.15
166G CMa,CPD -29°1678,5.20
eta CMa,CPD -29°1680,6.14
170G CMa,CPD -20°2370,6.16
171G CMa,CPD -31°1537,8.77
172G CMa,CPD -21°2148,6.97
173G CMa,CPD -24°2403,7.26
174G CMa,CPD -31°1542,8.77
175G CMa,CPD -23°2226,6.60
177G CMa,CPD -22°2178,8.29
4 Cap,CPD -22°7678,6.61
10G Cap,CPD -21°7629,1.40
sigma Cap,CPD -19°7709,7.07
18G Cap,CPD -26°7009,12.34
21G Cap,CPD -21°7691,1.40
24G Cap,CPD -22°7766,11.39
omicron Cap,CPD -18°455,1.42
28G Cap,CPD -25°7104,2.71
35G Cap,CPD -25°7135,15.29
36G Cap,CPD -24°7037,5.45
42G Cap,CPD -27°7070,8.03
44G Cap,CPD -26°7069,13.75
45G Cap,CPD -27°7092,7.97
psi Cap,CPD -25°7174,13.56
17 Cap,CPD -21°7791,1.39
49G Cap,CPD -27°7096,5.33
50G Cap,CPD -19°7910,15.53
52G Cap,CPD -26°7110,9.01
54G Cap,CPD -25°7197,8.13
55G Cap,CPD -27°7122,3.98
omega Cap,CPD -27°7123,7.21
57G Cap,CPD -20°8033,5.63
58G Cap,CPD -24°7105,10.94
59G Cap,CPD -19°7926,8.48
60G Cap,CPD -19°7935,1.42
63G Cap,CPD -26°7133,12.28
20 Cap,CPD -19°7959,9.90
