index1,index2,dist
GI 271,CD -71°25,13.96
GI 272,CD -68°20,6.75
GI 273,CD -67°27,11.57
GI 275,CD -79°16,16.58
GI 276,CD -76°22,13.97
GI 277,CD -68°21,4.33
GI 278,CD -82°10,3.53
GI 279,CD -84°6,8.64
GI 280,CD -76°23,25.02
GI 281,CD -69°20,22.17
GI 282,CD -70°27,13.73
GI 283,CD -67°30,21.40
GI 284,CD -73°23,9.27
GI 285,CD -78°16,6.20
GI 287,CD -76°24,14.83
GI 288,CD -69°21,16.97
GI 289,CD -68°22,14.87
GI 290,CD -72°29,10.20
GI 291,CD -71°26,16.38
GI 292,CD -67°32,16.81
GI 293,CD -86°2,7.10
GI 294,CD -73°24,19.32
GI 295,CD -74°21,29.96
GI 296,CD -79°17,9.20
GI 297,CD -82°11,2.12
GI 298,CD -68°23,15.10
GI 299,CD -75°19,3.39
GI 300,CD -65°24,20.12
GI 301,CD -73°25,15.96
GI 302,CD -70°28,27.75
GI 303,CD -66°30,20.30
GI 305,CD -70°29,26.08
GI 306,CD -70°30,27.53
GI 307,CD -71°27,4.84
GI 308,CD -81°16,20.82
GI 310,CD -79°18,7.12
GI 311,CD -77°21,11.88
GI 313,CD -68°24,3.07
GI 314,CD -69°23,24.24
GI 315,CD -66°31,25.72
GI 316,CD -76°26,16.85
GI 317,CD -72°31,19.20
GI 318,CD -76°27,11.54
GI 319,CD -69°24,8.38
GI 320,CD -78°18,2.06
GI 321,CD -79°19,21.20
GI 322,CD -72°32,17.97
GI 323,CD -74°24,14.76
GI 324,CD -83°4,7.92
GI 325,CD -68°25,19.05
GI 326,CD -73°27,13.25
GI 327,CD -72°33,12.70
GI 328,CD -72°33,13.12
GI 329,CD -69°25,16.02
GI 330,CD -75°20,18.57
GI 331,CD -69°25,12.49
GI 332,CD -68°26,320.86
GI 335,CD -70°31,20.09
GI 336,CD -69°26,18.62
GI 337,CD -71°29,19.48
GI 339,CD -78°20,5.42
GI 340,CD -72°34,23.20
GI 341,CD -81°17,11.18
GI 342,CD -86°4,305.43
GI 343,CD -78°21,20.24
GI 344,CD -74°26,6.43
GI 345,CD -84°7,3.12
GI 346,CD -66°32,11.64
GI 347,CD -77°23,10.70
GI 348,CD -77°24,12.38
GI 349,CD -68°27,12.85
GI 350,CD -69°27,30.48
GI 351,CD -83°5,5.52
GI 351,CD -83°5,24.85
GI 352,CD -68°27,29.82
GI 353,CD -67°34,1.42
GI 354,CD -72°35,12.28
GI 355,CD -69°28,3.47
